schema,block_size,server_num,time
1,64,3,127.783
1,64,3,131.555
1,64,3,121.676
1,64,3,128.487
1,64,3,126.547
1,64,3,125.911
1,64,3,125.17
1,64,3,126.655
1,64,3,124.491
1,64,3,122.644
1,64,3,124.284
1,64,3,117.619
1,64,3,130.326
1,64,3,119.305
1,64,3,124.632
1,64,3,124.857
1,64,3,118.372
1,64,3,118.172
1,64,3,130.449
1,64,3,122.366
1,64,3,120.382
1,64,3,125.295
1,64,3,124.239
1,64,3,121.795
1,64,3,127.476
1,64,3,125.914
1,64,3,119.637
1,64,3,120.608
1,64,3,121.234
1,64,3,122.203
1,128,3,117.489
1,128,3,122.74
1,128,3,121.472
1,128,3,115.874
1,128,3,117.255
1,128,3,120.67
1,128,3,118.332
1,128,3,128.323
1,128,3,117.6
1,128,3,121.541
1,128,3,116.874
1,128,3,119.169
1,128,3,117.865
1,128,3,126.793
1,128,3,119.71
1,128,3,117.155
1,128,3,119.998
1,128,3,120.83
1,128,3,131.409
1,128,3,116.845
1,128,3,126.985
1,128,3,116.945
1,128,3,115.435
1,128,3,123.031
1,128,3,124.798
1,128,3,123.415
1,128,3,117.328
1,128,3,117.995
1,128,3,120.005
1,128,3,114.905
1,256,3,116.015
1,256,3,120.388
1,256,3,119.46
1,256,3,118.072
1,256,3,118.091
1,256,3,118.552
1,256,3,116.184
1,256,3,120.2
1,256,3,122.62
1,256,3,117.643
1,256,3,124.086
1,256,3,116.443
1,256,3,123.595
1,256,3,119.64
1,256,3,116.633
1,256,3,118.704
1,256,3,119.138
1,256,3,116.412
1,256,3,119.049
1,256,3,116.086
1,256,3,116.111
1,256,3,118.685
1,256,3,118.212
1,256,3,117.518
1,256,3,118.198
1,256,3,116.852
1,256,3,120.42
1,256,3,117.984
1,256,3,118.229
1,256,3,126.534
0,64,3,107.4
0,64,3,101.751
0,64,3,105.94
0,64,3,108.077
0,64,3,103.847
0,64,3,105.351
0,64,3,104.157
0,64,3,104.319
0,64,3,107.056
0,64,3,103.88
0,64,3,105.356
0,64,3,104.224
0,64,3,104.299
0,64,3,106.606
0,64,3,104.58
0,64,3,107.971
0,64,3,105.799
0,64,3,104.521
0,64,3,106.303
0,64,3,104.767
0,64,3,101.018
0,64,3,101.005
0,64,3,106.411
0,64,3,108.475
0,64,3,105.838
0,64,3,105.518
0,64,3,104.029
0,64,3,104.428
0,64,3,106.036
0,64,3,106.822
0,128,3,101.374
0,128,3,100.96
0,128,3,97.739
0,128,3,97.847
0,128,3,98.391
0,128,3,99.577
0,128,3,101.434
0,128,3,99.621
0,128,3,100.864
0,128,3,103.786
0,128,3,99.312
0,128,3,100.001
0,128,3,102.22
0,128,3,99.598
0,128,3,99.913
0,128,3,105.065
0,128,3,99.203
0,128,3,104.12
0,128,3,104.026
0,128,3,99.939
0,128,3,100.163
0,128,3,101.166
0,128,3,103.673
0,128,3,100.509
0,128,3,99.626
0,128,3,101.722
0,128,3,103.287
0,128,3,100.959
0,128,3,101.311
0,128,3,101.997
0,256,3,105.522
0,256,3,105.418
0,256,3,106.07
0,256,3,103.171
0,256,3,118.638
0,256,3,105.637
0,256,3,104.613
0,256,3,105.473
0,256,3,103.717
0,256,3,104.614
0,256,3,103.445
0,256,3,105.53
0,256,3,102.537
0,256,3,105.987
0,256,3,105.396
0,256,3,104.332
0,256,3,106.154
0,256,3,105.245
0,256,3,105.676
0,256,3,105.002
0,256,3,104.872
0,256,3,105.045
0,256,3,104.917
0,256,3,103.412
0,256,3,103.268
0,256,3,105.321
0,256,3,105.263
0,256,3,100.039
0,256,3,105.501
0,256,3,104.612
1,64,5,89.056
1,64,5,82.274
1,64,5,91.169
1,64,5,89.086
1,64,5,97.648
1,64,5,94.694
1,64,5,91.221
1,64,5,92.271
1,64,5,92.796
1,64,5,91.605
1,64,5,89.311
1,64,5,91.277
1,64,5,96.296
1,64,5,94.334
1,64,5,87.776
1,64,5,92.26
1,64,5,91.111
1,64,5,94.145
1,64,5,94.296
1,64,5,93.763
1,64,5,87.652
1,64,5,93.998
1,64,5,92.656
1,64,5,93.143
1,64,5,93.17
1,64,5,92.595
1,64,5,97.692
1,64,5,84.542
1,64,5,93.67
1,64,5,91.447
1,128,5,88.199
1,128,5,93.172
1,128,5,95.345
1,128,5,92.367
1,128,5,90.77
1,128,5,82.915
1,128,5,88.256
1,128,5,95.945
1,128,5,91.608
1,128,5,92.953
1,128,5,95.635
1,128,5,92.671
1,128,5,90.024
1,128,5,88.432
