schema,block_size,time
1,64,89.056
1,64,82.274
1,64,91.169
1,64,89.086
1,64,97.648
1,64,94.694
1,64,91.221
1,64,92.271
1,64,92.796
1,64,91.605
1,64,89.311
1,64,91.277
1,64,96.296
1,64,94.334
1,64,87.776
1,64,92.26
1,64,91.111
1,64,94.145
1,64,94.296
1,64,93.763
1,64,87.652
1,64,93.998
1,64,92.656
1,64,93.143
1,64,93.17
1,64,92.595
1,64,97.692
1,64,84.542
1,64,93.67
1,64,91.447
1,128,88.199
1,128,93.172
1,128,95.345
1,128,92.367
1,128,90.77
1,128,82.915
1,128,88.256
1,128,95.945
1,128,91.608
1,128,92.953
1,128,95.635
1,128,92.671
1,128,90.024
1,128,88.432
1,128,96.394
1,128,81.769
1,128,90.775
1,128,90.933
1,128,84.805
1,128,98.207
1,128,89.642
1,128,86.412
1,128,95.382
1,128,91.04
1,128,90.73
1,128,90.129
1,128,92.331
1,128,83.505
1,128,94.25
1,128,97.59
1,256,92.497
1,256,82.141
1,256,91.238
1,256,91.828
1,256,89.692
1,256,93.58
1,256,94.737
1,256,95.165
1,256,94.437
1,256,93.845
1,256,88.393
1,256,97.215
1,256,94.592
1,256,84.679
1,256,92.961
1,256,96.108
1,256,94.265
1,256,91.764
1,256,90.159
1,256,84.387
1,256,92.069
1,256,99.162
1,256,88.093
1,256,95.956
1,256,81.762
1,256,89.155
1,256,95.287
1,256,89.381
1,256,94.003
1,256,86.343
0,64,81.089
0,64,76.248
0,64,81.308
0,64,73.43
0,64,74.216
0,64,72.634
0,64,73.138
0,64,73.636
0,64,89.207
0,64,74.833
0,64,85.834
0,64,92.481
0,64,87.408
0,64,74.242
0,64,82.042
0,64,83.431
0,64,74.528
0,64,77.141
0,64,84.509
0,64,75.487
0,64,89.807
0,64,88.609
0,64,78.056
0,64,85.359
0,64,87.835
0,64,84.805
0,64,75.552
0,64,85.111
0,64,83.805
0,64,75.509
0,128,90.008
0,128,74.559
0,128,78.579
0,128,72.297
0,128,73.137
0,128,75.367
0,128,80.872
0,128,72.196
0,128,82.284
0,128,75.82
0,128,82.512
0,128,84.816
0,128,77.957
0,128,77.268
0,128,87.781
0,128,85.332
0,128,86.383
0,128,80.313
0,128,75.961
0,128,87.682
0,128,91.555
0,128,85.843
0,128,86.004
0,128,73.46
0,128,87.612
0,128,79.023
0,128,74.033
0,128,74.013
0,128,78.496
0,128,74.646
0,256,76.129
0,256,90.704
0,256,75.75
0,256,75.162
0,256,76.291
0,256,73.864
0,256,74.431
0,256,88.283
0,256,73.052
0,256,73.894
0,256,74.581
0,256,76.982
0,256,85.741
0,256,75.722
0,256,72.283
0,256,74.671
0,256,83.766
0,256,74.634
0,256,79.207
0,256,87.163
0,256,74.86
0,256,77.251
0,256,86.124
0,256,72.609
0,256,74.69
0,256,75.69
0,256,89.612
0,256,76.797
0,256,75.756
0,256,78.394
