schema,time,server_count,Normalized,Mean,Median,Std. Dev.,Variance,Min,Max
Normalized,127.783,Three Servers,Three Servers,121.0513778,120.0015,4.093722334,16.75856255,114.905,131.555
Normalized,131.555,Three Servers,,,,,,,
Normalized,121.676,Three Servers,Denormalized,Mean,Median,Std. Dev.,Variance,Min,Max
Normalized,128.487,Three Servers,Three Servers,103.7734889,104.309,2.968445288,8.811667428,97.739,118.638
Normalized,126.547,Three Servers,,,,,,,
Normalized,125.911,Three Servers,Normalized,Mean,Median,Std. Dev.,Variance,Min,Max
Normalized,125.17,Three Servers,Five Servers,91.48926667,92.1645,3.98425703,15.87430408,81.762,99.162
Normalized,126.655,Three Servers,,,,,,,
Normalized,124.491,Three Servers,Denormalized,Mean,Median,Std. Dev.,Variance,Min,Max
Normalized,122.644,Three Servers,Five Servers,79.67991111,77.2595,5.82381276,33.91679506,72.196,92.481
Normalized,124.284,Three Servers,,,,,,,
Normalized,117.619,Three Servers,,,,,,,
Normalized,130.326,Three Servers,,,,,,,
Normalized,119.305,Three Servers,,,,,,,
Normalized,124.632,Three Servers,,,,,,,
Normalized,124.857,Three Servers,,,,,,,
Normalized,118.372,Three Servers,,,,,,,
Normalized,118.172,Three Servers,,,,,,,
Normalized,130.449,Three Servers,,,,,,,
Normalized,122.366,Three Servers,,,,,,,
Normalized,120.382,Three Servers,,,,,,,
Normalized,125.295,Three Servers,,,,,,,
Normalized,124.239,Three Servers,,,,,,,
Normalized,121.795,Three Servers,,,,,,,
Normalized,127.476,Three Servers,,,,,,,
Normalized,125.914,Three Servers,,,,,,,
Normalized,119.637,Three Servers,,,,,,,
Normalized,120.608,Three Servers,,,,,,,
Normalized,121.234,Three Servers,,,,,,,
Normalized,122.203,Three Servers,,,,,,,
Normalized,117.489,Three Servers,,,,,,,
Normalized,122.74,Three Servers,,,,,,,
Normalized,121.472,Three Servers,,,,,,,
Normalized,115.874,Three Servers,,,,,,,
Normalized,117.255,Three Servers,,,,,,,
Normalized,120.67,Three Servers,,,,,,,
Normalized,118.332,Three Servers,,,,,,,
Normalized,128.323,Three Servers,,,,,,,
Normalized,117.6,Three Servers,,,,,,,
Normalized,121.541,Three Servers,,,,,,,
Normalized,116.874,Three Servers,,,,,,,
Normalized,119.169,Three Servers,,,,,,,
Normalized,117.865,Three Servers,,,,,,,
Normalized,126.793,Three Servers,,,,,,,
Normalized,119.71,Three Servers,,,,,,,
Normalized,117.155,Three Servers,,,,,,,
Normalized,119.998,Three Servers,,,,,,,
Normalized,120.83,Three Servers,,,,,,,
Normalized,131.409,Three Servers,,,,,,,
Normalized,116.845,Three Servers,,,,,,,
Normalized,126.985,Three Servers,,,,,,,
Normalized,116.945,Three Servers,,,,,,,
Normalized,115.435,Three Servers,,,,,,,
Normalized,123.031,Three Servers,,,,,,,
Normalized,124.798,Three Servers,,,,,,,
Normalized,123.415,Three Servers,,,,,,,
Normalized,117.328,Three Servers,,,,,,,
Normalized,117.995,Three Servers,,,,,,,
Normalized,120.005,Three Servers,,,,,,,
Normalized,114.905,Three Servers,,,,,,,
Normalized,116.015,Three Servers,,,,,,,
Normalized,120.388,Three Servers,,,,,,,
Normalized,119.46,Three Servers,,,,,,,
Normalized,118.072,Three Servers,,,,,,,
Normalized,118.091,Three Servers,,,,,,,
Normalized,118.552,Three Servers,,,,,,,
Normalized,116.184,Three Servers,,,,,,,
Normalized,120.2,Three Servers,,,,,,,
Normalized,122.62,Three Servers,,,,,,,
Normalized,117.643,Three Servers,,,,,,,
Normalized,124.086,Three Servers,,,,,,,
Normalized,116.443,Three Servers,,,,,,,
Normalized,123.595,Three Servers,,,,,,,
Normalized,119.64,Three Servers,,,,,,,
Normalized,116.633,Three Servers,,,,,,,
Normalized,118.704,Three Servers,,,,,,,
Normalized,119.138,Three Servers,,,,,,,
Normalized,116.412,Three Servers,,,,,,,
Normalized,119.049,Three Servers,,,,,,,
Normalized,116.086,Three Servers,,,,,,,
Normalized,116.111,Three Servers,,,,,,,
Normalized,118.685,Three Servers,,,,,,,
Normalized,118.212,Three Servers,,,,,,,
Normalized,117.518,Three Servers,,,,,,,
Normalized,118.198,Three Servers,,,,,,,
Normalized,116.852,Three Servers,,,,,,,
Normalized,120.42,Three Servers,,,,,,,
Normalized,117.984,Three Servers,,,,,,,
Normalized,118.229,Three Servers,,,,,,,
Normalized,126.534,Three Servers,,,,,,,
Denormalized,107.4,Three Servers,,,,,,,
Denormalized,101.751,Three Servers,,,,,,,
Denormalized,105.94,Three Servers,,,,,,,
Denormalized,108.077,Three Servers,,,,,,,
Denormalized,103.847,Three Servers,,,,,,,
Denormalized,105.351,Three Servers,,,,,,,
Denormalized,104.157,Three Servers,,,,,,,
Denormalized,104.319,Three Servers,,,,,,,
Denormalized,107.056,Three Servers,,,,,,,
Denormalized,103.88,Three Servers,,,,,,,
Denormalized,105.356,Three Servers,,,,,,,
Denormalized,104.224,Three Servers,,,,,,,
Denormalized,104.299,Three Servers,,,,,,,
Denormalized,106.606,Three Servers,,,,,,,
Denormalized,104.58,Three Servers,,,,,,,
Denormalized,107.971,Three Servers,,,,,,,
Denormalized,105.799,Three Servers,,,,,,,
Denormalized,104.521,Three Servers,,,,,,,
Denormalized,106.303,Three Servers,,,,,,,
Denormalized,104.767,Three Servers,,,,,,,
Denormalized,101.018,Three Servers,,,,,,,
Denormalized,101.005,Three Servers,,,,,,,
Denormalized,106.411,Three Servers,,,,,,,
Denormalized,108.475,Three Servers,,,,,,,
Denormalized,105.838,Three Servers,,,,,,,
Denormalized,105.518,Three Servers,,,,,,,
Denormalized,104.029,Three Servers,,,,,,,
Denormalized,104.428,Three Servers,,,,,,,
Denormalized,106.036,Three Servers,,,,,,,
Denormalized,106.822,Three Servers,,,,,,,
Denormalized,101.374,Three Servers,,,,,,,
Denormalized,100.96,Three Servers,,,,,,,
Denormalized,97.739,Three Servers,,,,,,,
Denormalized,97.847,Three Servers,,,,,,,
Denormalized,98.391,Three Servers,,,,,,,
Denormalized,99.577,Three Servers,,,,,,,
Denormalized,101.434,Three Servers,,,,,,,
Denormalized,99.621,Three Servers,,,,,,,
Denormalized,100.864,Three Servers,,,,,,,
Denormalized,103.786,Three Servers,,,,,,,
Denormalized,99.312,Three Servers,,,,,,,
Denormalized,100.001,Three Servers,,,,,,,
Denormalized,102.22,Three Servers,,,,,,,
Denormalized,99.598,Three Servers,,,,,,,
Denormalized,99.913,Three Servers,,,,,,,
Denormalized,105.065,Three Servers,,,,,,,
Denormalized,99.203,Three Servers,,,,,,,
Denormalized,104.12,Three Servers,,,,,,,
Denormalized,104.026,Three Servers,,,,,,,
Denormalized,99.939,Three Servers,,,,,,,
Denormalized,100.163,Three Servers,,,,,,,
Denormalized,101.166,Three Servers,,,,,,,
Denormalized,103.673,Three Servers,,,,,,,
Denormalized,100.509,Three Servers,,,,,,,
Denormalized,99.626,Three Servers,,,,,,,
Denormalized,101.722,Three Servers,,,,,,,
Denormalized,103.287,Three Servers,,,,,,,
Denormalized,100.959,Three Servers,,,,,,,
Denormalized,101.311,Three Servers,,,,,,,
Denormalized,101.997,Three Servers,,,,,,,
Denormalized,105.522,Three Servers,,,,,,,
Denormalized,105.418,Three Servers,,,,,,,
Denormalized,106.07,Three Servers,,,,,,,
Denormalized,103.171,Three Servers,,,,,,,
Denormalized,118.638,Three Servers,,,,,,,
Denormalized,105.637,Three Servers,,,,,,,
Denormalized,104.613,Three Servers,,,,,,,
Denormalized,105.473,Three Servers,,,,,,,
Denormalized,103.717,Three Servers,,,,,,,
Denormalized,104.614,Three Servers,,,,,,,
Denormalized,103.445,Three Servers,,,,,,,
Denormalized,105.53,Three Servers,,,,,,,
Denormalized,102.537,Three Servers,,,,,,,
Denormalized,105.987,Three Servers,,,,,,,
Denormalized,105.396,Three Servers,,,,,,,
Denormalized,104.332,Three Servers,,,,,,,
Denormalized,106.154,Three Servers,,,,,,,
Denormalized,105.245,Three Servers,,,,,,,
Denormalized,105.676,Three Servers,,,,,,,
Denormalized,105.002,Three Servers,,,,,,,
Denormalized,104.872,Three Servers,,,,,,,
Denormalized,105.045,Three Servers,,,,,,,
Denormalized,104.917,Three Servers,,,,,,,
Denormalized,103.412,Three Servers,,,,,,,
Denormalized,103.268,Three Servers,,,,,,,
Denormalized,105.321,Three Servers,,,,,,,
Denormalized,105.263,Three Servers,,,,,,,
Denormalized,100.039,Three Servers,,,,,,,
Denormalized,105.501,Three Servers,,,,,,,
Denormalized,104.612,Three Servers,,,,,,,
Normalized,89.056,Five Servers,,,,,,,
Normalized,82.274,Five Servers,,,,,,,
Normalized,91.169,Five Servers,,,,,,,
Normalized,89.086,Five Servers,,,,,,,
Normalized,97.648,Five Servers,,,,,,,
Normalized,94.694,Five Servers,,,,,,,
Normalized,91.221,Five Servers,,,,,,,
Normalized,92.271,Five Servers,,,,,,,
Normalized,92.796,Five Servers,,,,,,,
Normalized,91.605,Five Servers,,,,,,,
