"times","real_lower_band","real_middle_band","real_upper_band","symbol"
"2019-10-09 16:00:00",217.9265,224.5308,231.1351,"AAPL"
"2019-10-09 15:45:00",217.9109,224.5109,231.1108,"AAPL"
"2019-10-09 15:30:00",217.8948,224.4867,231.0785,"AAPL"
"2019-10-09 15:15:00",217.8695,224.4582,231.0468,"AAPL"
"2019-10-09 15:00:00",217.844,224.4307,231.0174,"AAPL"
"2019-10-09 14:45:00",217.8192,224.4035,230.9878,"AAPL"
"2019-10-09 14:30:00",217.7924,224.3773,230.9622,"AAPL"
"2019-10-09 14:15:00",217.7651,224.3512,230.9374,"AAPL"
"2019-10-09 14:00:00",217.7327,224.3233,230.9139,"AAPL"
"2019-10-09 13:45:00",217.6548,224.2819,230.909,"AAPL"
"2019-10-09 13:30:00",217.5679,224.2393,230.9106,"AAPL"
"2019-10-09 13:15:00",217.4749,224.1935,230.9121,"AAPL"
"2019-10-09 13:00:00",217.3737,224.1453,230.9169,"AAPL"
"2019-10-09 12:45:00",217.2842,224.0995,230.9149,"AAPL"
"2019-10-09 12:30:00",217.2004,224.0562,230.9121,"AAPL"
"2019-10-09 12:15:00",217.1225,224.0139,230.9054,"AAPL"
"2019-10-09 12:00:00",217.0504,223.9734,230.8963,"AAPL"
"2019-10-09 11:45:00",216.9804,223.9337,230.8869,"AAPL"
"2019-10-09 11:30:00",216.9041,223.8956,230.8871,"AAPL"
"2019-10-09 11:15:00",216.8335,223.8594,230.8853,"AAPL"
"2019-10-09 11:00:00",216.7566,223.8202,230.8837,"AAPL"
"2019-10-09 10:45:00",216.6983,223.7849,230.8716,"AAPL"
"2019-10-09 10:30:00",216.6424,223.7492,230.856,"AAPL"
"2019-10-09 10:15:00",216.5966,223.7181,230.8397,"AAPL"
"2019-10-09 10:00:00",216.551,223.6857,230.8204,"AAPL"
"2019-10-09 09:45:00",216.4905,223.6458,230.8011,"AAPL"
"2019-10-08 16:00:00",216.4584,223.6125,230.7665,"AAPL"
"2019-10-08 15:45:00",216.4248,223.5879,230.7509,"AAPL"
"2019-10-08 15:30:00",216.3909,223.5597,230.7286,"AAPL"
"2019-10-08 15:15:00",216.3514,223.5313,230.7112,"AAPL"
"2019-10-08 15:00:00",216.3142,223.5004,230.6867,"AAPL"
"2019-10-08 14:45:00",216.2834,223.4645,230.6455,"AAPL"
"2019-10-08 14:30:00",216.2502,223.4325,230.6147,"AAPL"
"2019-10-08 14:15:00",216.2225,223.4009,230.5794,"AAPL"
"2019-10-08 14:00:00",216.197,223.3689,230.5408,"AAPL"
"2019-10-08 13:45:00",216.1714,223.3334,230.4954,"AAPL"
"2019-10-08 13:30:00",216.1461,223.3003,230.4545,"AAPL"
"2019-10-08 13:15:00",216.1154,223.2674,230.4194,"AAPL"
"2019-10-08 13:00:00",216.0846,223.2339,230.3831,"AAPL"
"2019-10-08 12:45:00",216.057,223.2029,230.3488,"AAPL"
"2019-10-08 12:30:00",216.0274,223.1738,230.3203,"AAPL"
"2019-10-08 12:15:00",216.0009,223.1467,230.2925,"AAPL"
"2019-10-08 12:00:00",215.9711,223.117,230.2628,"AAPL"
"2019-10-08 11:45:00",215.94,223.0876,230.2353,"AAPL"
"2019-10-08 11:30:00",215.9054,223.0577,230.2099,"AAPL"
"2019-10-08 11:15:00",215.8748,223.0276,230.1803,"AAPL"
"2019-10-08 11:00:00",215.8438,222.9957,230.1475,"AAPL"
"2019-10-08 10:45:00",215.815,222.9637,230.1124,"AAPL"
"2019-10-08 10:30:00",215.7888,222.934,230.0793,"AAPL"
"2019-10-08 10:15:00",215.7609,222.9049,230.049,"AAPL"
"2019-10-08 10:00:00",215.7319,222.8756,230.0194,"AAPL"
"2019-10-08 09:45:00",215.7056,222.8437,229.9818,"AAPL"
"2019-10-07 16:00:00",215.6717,222.8123,229.9528,"AAPL"
"2019-10-07 15:45:00",215.6507,222.774,229.8972,"AAPL"
"2019-10-07 15:30:00",215.6379,222.735,229.8322,"AAPL"
"2019-10-07 15:15:00",215.6265,222.6958,229.7651,"AAPL"
"2019-10-07 15:00:00",215.6107,222.6583,229.7059,"AAPL"
"2019-10-07 14:45:00",215.5946,222.6166,229.6386,"AAPL"
"2019-10-07 14:30:00",215.5843,222.5693,229.5544,"AAPL"
"2019-10-07 14:15:00",215.574,222.5219,229.4698,"AAPL"
"2019-10-07 14:00:00",215.5898,222.4706,229.3514,"AAPL"
"2019-10-07 13:45:00",215.6218,222.4291,229.2364,"AAPL"
"2019-10-07 13:30:00",215.6392,222.3906,229.142,"AAPL"
"2019-10-07 13:15:00",215.6616,222.3518,229.0419,"AAPL"
"2019-10-07 13:00:00",215.6875,222.3076,228.9276,"AAPL"
"2019-10-07 12:45:00",215.7107,222.2621,228.8134,"AAPL"
"2019-10-07 12:30:00",215.7303,222.2183,228.7064,"AAPL"
"2019-10-07 12:15:00",215.7544,222.1768,228.5991,"AAPL"
"2019-10-07 12:00:00",215.7883,222.1323,228.4762,"AAPL"
"2019-10-07 11:45:00",215.8161,222.087,228.3579,"AAPL"
"2019-10-07 11:30:00",215.8392,222.043,228.2469,"AAPL"
"2019-10-07 11:15:00",215.868,222.0002,228.1324,"AAPL"
"2019-10-07 11:00:00",215.8965,221.9569,228.0172,"AAPL"
"2019-10-07 10:45:00",215.9158,221.919,227.9222,"AAPL"
"2019-10-07 10:30:00",215.939,221.8825,227.8259,"AAPL"
"2019-10-07 10:15:00",215.9618,221.8454,227.7289,"AAPL"
"2019-10-07 10:00:00",215.9704,221.8112,227.652,"AAPL"
"2019-10-07 09:45:00",215.9778,221.7785,227.5792,"AAPL"
"2019-10-04 16:00:00",215.9771,221.7468,227.5164,"AAPL"
"2019-10-04 15:45:00",215.983,221.7158,227.4486,"AAPL"
"2019-10-04 15:30:00",215.9762,221.6824,227.3885,"AAPL"
"2019-10-04 15:15:00",215.9669,221.6455,227.3241,"AAPL"
"2019-10-04 15:00:00",215.9658,221.6064,227.247,"AAPL"
"2019-10-04 14:45:00",215.9705,221.5647,227.1589,"AAPL"
"2019-10-04 14:30:00",215.9538,221.5206,227.0873,"AAPL"
"2019-10-04 14:15:00",215.948,221.4782,227.0083,"AAPL"
