Symbol,Date,Open,High,Low,Close,Volume
AAME,01-Jan-1999,4.875,4.875,4.875,4.875,0
AAON,01-Jan-1999,0.8181,0.8181,0.8181,0.8181,0
AAPL,01-Jan-1999,1.4621,1.4621,1.4621,1.4621,0
ABCB,01-Jan-1999,10.5208,10.5208,10.5208,10.5208,0
ABMD,01-Jan-1999,4.9063,4.9063,4.9063,4.9063,0
ACGL,01-Jan-1999,2.4167,2.4167,2.4167,2.4167,0
ACMR,01-Jan-1999,6.13,6.13,6.13,6.13,0
ADBE,01-Jan-1999,5.8438,5.8438,5.8438,5.8438,0
ADI,01-Jan-1999,15.69,15.69,15.69,15.69,0
ADP,01-Jan-1999,35.2019,35.2019,35.2019,35.2019,0
ADPT,01-Jan-1999,13.6633,13.6633,13.6633,13.6633,0
ADSK,01-Jan-1999,10.6719,10.6719,10.6719,10.6719,0
ADTN,01-Jan-1999,8.7919,8.7919,8.7919,8.7919,0
AEHR,01-Jan-1999,6.125,6.125,6.125,6.125,0
AEIS,01-Jan-1999,25,25,25,25,0
AEZS,01-Jan-1999,2400,2400,2400,2400,0
AGYS,01-Jan-1999,9.375,9.375,9.375,9.375,0
AHPI,01-Jan-1999,1.625,1.625,1.625,1.625,0
AIRT,01-Jan-1999,5.125,5.125,5.125,5.125,0
ALCO,01-Jan-1999,16.9219,16.9219,16.9219,16.9219,0
ALKS,01-Jan-1999,11.0938,11.0938,11.0938,11.0938,0
ALOT,01-Jan-1999,3.955,3.955,3.955,3.955,0
ALTR,01-Jan-1999,15.2188,15.2188,15.2188,15.2188,0
ALXN,01-Jan-1999,6.6875,6.6875,6.6875,6.6875,0
AMAT,01-Jan-1999,10.6719,10.6719,10.6719,10.6719,0
AMD,01-Jan-1999,14.5,14.5,14.5,14.5,0
AMED,01-Jan-1999,2.156,2.156,2.156,2.156,0
AMGN,01-Jan-1999,26.14,26.14,26.14,26.14,0
AMKR,01-Jan-1999,10.8125,10.8125,10.8125,10.8125,0
AMNB,01-Jan-1999,16.5,16.5,16.5,16.5,0
AMOT,01-Jan-1999,1,1,1,1,0
AMPH,01-Jan-1999,4.5,4.5,4.5,4.5,0
AMRB,01-Jan-1999,8.9533,8.9533,8.9533,8.9533,0
AMRN,01-Jan-1999,3.5625,3.5625,3.5625,3.5625,0
AMSC,01-Jan-1999,102.5,102.5,102.5,102.5,0
AMSWA,01-Jan-1999,2.125,2.125,2.125,2.125,0
AMTD,01-Jan-1999,5.25,5.25,5.25,5.25,0
AMWD,01-Jan-1999,17.125,17.125,17.125,17.125,0
AMZN,01-Jan-1999,53.5469,53.5469,53.5469,53.5469,0
ANAT,01-Jan-1999,82.75,82.75,82.75,82.75,0
ANDE,01-Jan-1999,3.854,3.854,3.854,3.854,0
ANIK,01-Jan-1999,5.375,5.375,5.375,5.375,0
ANSS,01-Jan-1999,2.75,2.75,2.75,2.75,0
APOG,01-Jan-1999,11.25,11.25,11.25,11.25,0
ARKR,01-Jan-1999,10.125,10.125,10.125,10.125,0
