"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-11 16:00:00",1.2025,-0.0398,1.2423,"AAPL"
"2019-10-11 15:45:00",1.2939,0.0416,1.2523,"AAPL"
"2019-10-11 15:30:00",1.2919,0.05,1.2419,"AAPL"
"2019-10-11 15:15:00",1.263,0.0336,1.2294,"AAPL"
"2019-10-11 15:00:00",1.2082,-0.0128,1.221,"AAPL"
"2019-10-11 14:45:00",1.1706,-0.0536,1.2242,"AAPL"
"2019-10-11 14:30:00",1.1578,-0.0798,1.2376,"AAPL"
"2019-10-11 14:15:00",1.1737,-0.0838,1.2575,"AAPL"
"2019-10-11 14:00:00",1.225,-0.0535,1.2785,"AAPL"
"2019-10-11 13:45:00",1.2444,-0.0474,1.2918,"AAPL"
"2019-10-11 13:30:00",1.2415,-0.0622,1.3037,"AAPL"
"2019-10-11 13:15:00",1.2823,-0.037,1.3192,"AAPL"
"2019-10-11 13:00:00",1.3381,0.0096,1.3285,"AAPL"
"2019-10-11 12:45:00",1.3623,0.0363,1.3261,"AAPL"
"2019-10-11 12:30:00",1.4005,0.0835,1.317,"AAPL"
"2019-10-11 12:15:00",1.4436,0.1474,1.2962,"AAPL"
"2019-10-11 12:00:00",1.4657,0.2063,1.2593,"AAPL"
"2019-10-11 11:45:00",1.4783,0.2706,1.2077,"AAPL"
"2019-10-11 11:30:00",1.4465,0.3064,1.1401,"AAPL"
"2019-10-11 11:15:00",1.3818,0.3183,1.0635,"AAPL"
"2019-10-11 11:00:00",1.3473,0.3634,0.9839,"AAPL"
"2019-10-11 10:45:00",1.3,0.407,0.893,"AAPL"
"2019-10-11 10:30:00",1.2268,0.4356,0.7913,"AAPL"
"2019-10-11 10:15:00",1.0751,0.3927,0.6824,"AAPL"
"2019-10-11 10:00:00",0.8666,0.2824,0.5842,"AAPL"
"2019-10-11 09:45:00",0.649,0.1354,0.5136,"AAPL"
"2019-10-10 16:00:00",0.4224,-0.0574,0.4798,"AAPL"
"2019-10-10 15:45:00",0.4125,-0.0816,0.4941,"AAPL"
"2019-10-10 15:30:00",0.4276,-0.0869,0.5145,"AAPL"
"2019-10-10 15:15:00",0.4192,-0.1171,0.5362,"AAPL"
"2019-10-10 15:00:00",0.4253,-0.1402,0.5655,"AAPL"
"2019-10-10 14:45:00",0.4427,-0.1579,0.6006,"AAPL"
"2019-10-10 14:30:00",0.493,-0.147,0.64,"AAPL"
"2019-10-10 14:15:00",0.5359,-0.1409,0.6768,"AAPL"
"2019-10-10 14:00:00",0.5946,-0.1174,0.712,"AAPL"
"2019-10-10 13:45:00",0.6318,-0.1096,0.7414,"AAPL"
"2019-10-10 13:30:00",0.6966,-0.0722,0.7688,"AAPL"
"2019-10-10 13:15:00",0.7446,-0.0422,0.7869,"AAPL"
"2019-10-10 13:00:00",0.787,-0.0104,0.7974,"AAPL"
"2019-10-10 12:45:00",0.8215,0.0215,0.8,"AAPL"
"2019-10-10 12:30:00",0.861,0.0663,0.7946,"AAPL"
"2019-10-10 12:15:00",0.8974,0.1193,0.7781,"AAPL"
"2019-10-10 12:00:00",0.9289,0.1807,0.7482,"AAPL"
"2019-10-10 11:45:00",0.9322,0.2292,0.7031,"AAPL"
"2019-10-10 11:30:00",0.9229,0.2772,0.6458,"AAPL"
"2019-10-10 11:15:00",0.877,0.3006,0.5765,"AAPL"
"2019-10-10 11:00:00",0.7943,0.293,0.5013,"AAPL"
"2019-10-10 10:45:00",0.703,0.2749,0.4281,"AAPL"
"2019-10-10 10:30:00",0.619,0.2597,0.3594,"AAPL"
"2019-10-10 10:15:00",0.5262,0.2318,0.2944,"AAPL"
"2019-10-10 10:00:00",0.4368,0.2004,0.2365,"AAPL"
"2019-10-10 09:45:00",0.2408,0.0544,0.1864,"AAPL"
"2019-10-09 16:00:00",0.1858,0.013,0.1728,"AAPL"
"2019-10-09 15:45:00",0.2056,0.0361,0.1696,"AAPL"
"2019-10-09 15:30:00",0.2412,0.0806,0.1605,"AAPL"
