"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-11 16:00:00",1.2985,0.0428,1.2557,"AAPL"
"2019-10-11 15:45:00",1.3115,0.0665,1.245,"AAPL"
"2019-10-11 15:30:00",1.2706,0.0422,1.2284,"AAPL"
"2019-10-11 15:15:00",1.2445,0.0266,1.2179,"AAPL"
"2019-10-11 15:00:00",1.179,-0.0323,1.2112,"AAPL"
"2019-10-11 14:45:00",1.1518,-0.0675,1.2193,"AAPL"
"2019-10-11 14:30:00",1.1518,-0.0844,1.2361,"AAPL"
"2019-10-11 14:15:00",1.1844,-0.0729,1.2572,"AAPL"
"2019-10-11 14:00:00",1.2291,-0.0463,1.2755,"AAPL"
"2019-10-11 13:45:00",1.2607,-0.0263,1.287,"AAPL"
"2019-10-11 13:30:00",1.2557,-0.0379,1.2936,"AAPL"
"2019-10-11 13:15:00",1.2799,-0.0232,1.3031,"AAPL"
"2019-10-11 13:00:00",1.3101,0.0012,1.3089,"AAPL"
"2019-10-11 12:45:00",1.3407,0.0321,1.3086,"AAPL"
"2019-10-11 12:30:00",1.3878,0.0872,1.3006,"AAPL"
"2019-10-11 12:15:00",1.4348,0.156,1.2788,"AAPL"
"2019-10-11 12:00:00",1.4678,0.228,1.2398,"AAPL"
"2019-10-11 11:45:00",1.4642,0.2814,1.1828,"AAPL"
"2019-10-11 11:30:00",1.4148,0.3024,1.1125,"AAPL"
"2019-10-11 11:15:00",1.3608,0.3239,1.0369,"AAPL"
"2019-10-11 11:00:00",1.3301,0.3742,0.9559,"AAPL"
"2019-10-11 10:45:00",1.2868,0.4244,0.8623,"AAPL"
"2019-10-11 10:30:00",1.1792,0.423,0.7562,"AAPL"
"2019-10-11 10:15:00",1.0339,0.3834,0.6505,"AAPL"
"2019-10-11 10:00:00",0.8293,0.2747,0.5547,"AAPL"
"2019-10-11 09:45:00",0.6203,0.1344,0.486,"AAPL"
"2019-10-10 16:00:00",0.3812,-0.0712,0.4524,"AAPL"
"2019-10-10 15:45:00",0.381,-0.0892,0.4702,"AAPL"
"2019-10-10 15:30:00",0.3874,-0.1051,0.4925,"AAPL"
"2019-10-10 15:15:00",0.3939,-0.1248,0.5188,"AAPL"
"2019-10-10 15:00:00",0.4109,-0.1391,0.55,"AAPL"
"2019-10-10 14:45:00",0.4377,-0.1471,0.5848,"AAPL"
"2019-10-10 14:30:00",0.4829,-0.1386,0.6215,"AAPL"
"2019-10-10 14:15:00",0.5336,-0.1226,0.6562,"AAPL"
"2019-10-10 14:00:00",0.5742,-0.1126,0.6868,"AAPL"
"2019-10-10 13:45:00",0.6136,-0.1014,0.715,"AAPL"
"2019-10-10 13:30:00",0.6549,-0.0854,0.7403,"AAPL"
"2019-10-10 13:15:00",0.7033,-0.0584,0.7617,"AAPL"
"2019-10-10 13:00:00",0.7517,-0.0246,0.7763,"AAPL"
"2019-10-10 12:45:00",0.8037,0.0212,0.7824,"AAPL"
"2019-10-10 12:30:00",0.8393,0.0621,0.7771,"AAPL"
"2019-10-10 12:15:00",0.8905,0.1289,0.7616,"AAPL"
"2019-10-10 12:00:00",0.9031,0.1738,0.7294,"AAPL"
"2019-10-10 11:45:00",0.9021,0.2162,0.6859,"AAPL"
"2019-10-10 11:30:00",0.8892,0.2574,0.6319,"AAPL"
"2019-10-10 11:15:00",0.8519,0.2844,0.5675,"AAPL"
"2019-10-10 11:00:00",0.7706,0.2742,0.4964,"AAPL"
"2019-10-10 10:45:00",0.7047,0.2768,0.4279,"AAPL"
"2019-10-10 10:30:00",0.6526,0.2939,0.3587,"AAPL"
"2019-10-10 10:15:00",0.575,0.2898,0.2852,"AAPL"
"2019-10-10 10:00:00",0.4473,0.2345,0.2128,"AAPL"
"2019-10-10 09:45:00",0.2503,0.0961,0.1541,"AAPL"
"2019-10-09 16:00:00",0.1932,0.0631,0.1301,"AAPL"
"2019-10-09 15:45:00",0.2127,0.0984,0.1143,"AAPL"
"2019-10-09 15:30:00",0.1867,0.097,0.0898,"AAPL"
"2019-10-09 15:15:00",0.1548,0.0893,0.0655,"AAPL"
"2019-10-09 15:00:00",0.118,0.0749,0.0432,"AAPL"
"2019-10-09 14:45:00",0.0806,0.0561,0.0245,"AAPL"
"2019-10-09 14:30:00",0.058,0.0476,0.0104,"AAPL"
"2019-10-09 14:15:00",0.0508,0.0523,-0.0015,"AAPL"
"2019-10-09 14:00:00",0.0603,0.0748,-0.0145,"AAPL"
"2019-10-09 13:45:00",0.0561,0.0893,-0.0332,"AAPL"
"2019-10-09 13:30:00",0.0511,0.1066,-0.0556,"AAPL"
"2019-10-09 13:15:00",0.0415,0.1237,-0.0822,"AAPL"
"2019-10-09 13:00:00",-0.0117,0.1014,-0.1131,"AAPL"
"2019-10-09 12:45:00",-0.0457,0.0928,-0.1385,"AAPL"
"2019-10-09 12:30:00",-0.1,0.0617,-0.1617,"AAPL"
"2019-10-09 12:15:00",-0.1249,0.0523,-0.1771,"AAPL"
"2019-10-09 12:00:00",-0.1614,0.0288,-0.1902,"AAPL"
"2019-10-09 11:45:00",-0.2042,-0.0068,-0.1974,"AAPL"
"2019-10-09 11:30:00",-0.2344,-0.0387,-0.1957,"AAPL"
"2019-10-09 11:15:00",-0.2177,-0.0317,-0.186,"AAPL"
"2019-10-09 11:00:00",-0.1972,-0.0191,-0.1781,"AAPL"
"2019-10-09 10:45:00",-0.1733,0,-0.1733,"AAPL"
"2019-10-09 10:30:00",-0.1773,-0.004,-0.1733,"AAPL"
"2019-10-09 10:15:00",-0.1866,-0.0142,-0.1723,"AAPL"
"2019-10-09 10:00:00",-0.1894,-0.0206,-0.1688,"AAPL"
"2019-10-09 09:45:00",-0.2057,-0.0421,-0.1636,"AAPL"
"2019-10-08 16:00:00",-0.2562,-0.1031,-0.1531,"AAPL"
"2019-10-08 15:45:00",-0.162,-0.0347,-0.1273,"AAPL"
"2019-10-08 15:30:00",-0.0986,0.02,-0.1186,"AAPL"
"2019-10-08 15:15:00",-0.0325,0.0912,-0.1236,"AAPL"
"2019-10-08 15:00:00",0.0208,0.1672,-0.1464,"AAPL"
"2019-10-08 14:45:00",-0.0469,0.1414,-0.1882,"AAPL"
"2019-10-08 14:30:00",-0.098,0.1256,-0.2236,"AAPL"
"2019-10-08 14:15:00",-0.106,0.1489,-0.255,"AAPL"
"2019-10-08 14:00:00",-0.1358,0.1564,-0.2922,"AAPL"
"2019-10-08 13:45:00",-0.1953,0.136,-0.3313,"AAPL"
"2019-10-08 13:30:00",-0.2808,0.0845,-0.3653,"AAPL"
"2019-10-08 13:15:00",-0.3313,0.0552,-0.3865,"AAPL"
"2019-10-08 13:00:00",-0.3608,0.0395,-0.4003,"AAPL"
"2019-10-08 12:45:00",-0.4645,-0.0544,-0.4101,"AAPL"
"2019-10-08 12:30:00",-0.5211,-0.1246,-0.3965,"AAPL"
"2019-10-08 12:15:00",-0.5188,-0.1534,-0.3654,"AAPL"
"2019-10-08 12:00:00",-0.5333,-0.2063,-0.327,"AAPL"
"2019-10-08 11:45:00",-0.5135,-0.238,-0.2755,"AAPL"
"2019-10-08 11:30:00",-0.4665,-0.2506,-0.216,"AAPL"
"2019-10-08 11:15:00",-0.4558,-0.3025,-0.1533,"AAPL"
"2019-10-08 11:00:00",-0.4263,-0.3486,-0.0777,"AAPL"
"2019-10-08 10:45:00",-0.3824,-0.3918,0.0094,"AAPL"
"2019-10-08 10:30:00",-0.3203,-0.4277,0.1074,"AAPL"
"2019-10-08 10:15:00",-0.2278,-0.4421,0.2143,"AAPL"
"2019-10-08 10:00:00",-0.0682,-0.393,0.3248,"AAPL"
"2019-10-08 09:45:00",0.0627,-0.3604,0.4231,"AAPL"
"2019-10-07 16:00:00",0.1552,-0.358,0.5132,"AAPL"
"2019-10-07 15:45:00",0.2643,-0.3384,0.6027,"AAPL"
"2019-10-07 15:30:00",0.3556,-0.3318,0.6873,"AAPL"
"2019-10-07 15:15:00",0.4631,-0.3072,0.7703,"AAPL"
"2019-10-07 15:00:00",0.5768,-0.2702,0.8471,"AAPL"
"2019-10-07 14:45:00",0.7324,-0.1822,0.9146,"AAPL"
"2019-10-07 14:30:00",0.8213,-0.1389,0.9602,"AAPL"
"2019-10-07 14:15:00",0.9345,-0.0604,0.9949,"AAPL"
"2019-10-07 14:00:00",0.9495,-0.0605,1.01,"AAPL"
"2019-10-07 13:45:00",0.9545,-0.0706,1.0251,"AAPL"
"2019-10-07 13:30:00",0.9459,-0.0969,1.0427,"AAPL"
"2019-10-07 13:15:00",1.0197,-0.0473,1.067,"AAPL"
"2019-10-07 13:00:00",1.0412,-0.0375,1.0788,"AAPL"
"2019-10-07 12:45:00",1.0669,-0.0213,1.0882,"AAPL"
"2019-10-07 12:30:00",1.0932,-3e-04,1.0935,"AAPL"
"2019-10-07 12:15:00",1.1262,0.0326,1.0936,"AAPL"
"2019-10-07 12:00:00",1.1254,0.04,1.0854,"AAPL"
"2019-10-07 11:45:00",1.1091,0.0337,1.0754,"AAPL"
"2019-10-07 11:30:00",1.0885,0.0215,1.067,"AAPL"
"2019-10-07 11:15:00",1.0758,0.0142,1.0616,"AAPL"
"2019-10-07 11:00:00",1.0471,-0.011,1.058,"AAPL"
"2019-10-07 10:45:00",1.0135,-0.0473,1.0608,"AAPL"
"2019-10-07 10:30:00",1.0187,-0.0539,1.0726,"AAPL"
"2019-10-07 10:15:00",0.9997,-0.0864,1.0861,"AAPL"
