"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-11 16:00:00",1.1987,-0.0248,1.2234,"AAPL"
"2019-10-11 15:45:00",1.2681,0.0384,1.2296,"AAPL"
"2019-10-11 15:30:00",1.2644,0.0443,1.22,"AAPL"
"2019-10-11 15:15:00",1.2056,-0.0033,1.209,"AAPL"
"2019-10-11 15:00:00",1.1689,-0.0409,1.2098,"AAPL"
"2019-10-11 14:45:00",1.148,-0.072,1.22,"AAPL"
"2019-10-11 14:30:00",1.151,-0.0871,1.238,"AAPL"
"2019-10-11 14:15:00",1.1919,-0.0678,1.2598,"AAPL"
"2019-10-11 14:00:00",1.2215,-0.0552,1.2767,"AAPL"
"2019-10-11 13:45:00",1.2245,-0.066,1.2905,"AAPL"
"2019-10-11 13:30:00",1.2477,-0.0593,1.307,"AAPL"
"2019-10-11 13:15:00",1.2938,-0.0281,1.3218,"AAPL"
"2019-10-11 13:00:00",1.3272,-0.0016,1.3289,"AAPL"
"2019-10-11 12:45:00",1.3638,0.0345,1.3293,"AAPL"
"2019-10-11 12:30:00",1.4249,0.1042,1.3207,"AAPL"
"2019-10-11 12:15:00",1.459,0.1644,1.2946,"AAPL"
"2019-10-11 12:00:00",1.4814,0.2279,1.2535,"AAPL"
"2019-10-11 11:45:00",1.4771,0.2806,1.1965,"AAPL"
"2019-10-11 11:30:00",1.4177,0.2913,1.1264,"AAPL"
"2019-10-11 11:15:00",1.3874,0.3338,1.0536,"AAPL"
"2019-10-11 11:00:00",1.3448,0.3747,0.9701,"AAPL"
"2019-10-11 10:45:00",1.2831,0.4067,0.8764,"AAPL"
"2019-10-11 10:30:00",1.1857,0.4109,0.7748,"AAPL"
"2019-10-11 10:15:00",1.0217,0.3497,0.672,"AAPL"
"2019-10-11 10:00:00",0.8352,0.2506,0.5846,"AAPL"
"2019-10-11 09:45:00",0.6492,0.1272,0.522,"AAPL"
"2019-10-10 16:00:00",0.4227,-0.0675,0.4901,"AAPL"
"2019-10-10 15:45:00",0.4227,-0.0843,0.507,"AAPL"
"2019-10-10 15:30:00",0.4269,-0.1012,0.5281,"AAPL"
"2019-10-10 15:15:00",0.432,-0.1214,0.5534,"AAPL"
"2019-10-10 15:00:00",0.4343,-0.1494,0.5837,"AAPL"
"2019-10-10 14:45:00",0.4686,-0.1525,0.6211,"AAPL"
"2019-10-10 14:30:00",0.5024,-0.1568,0.6592,"AAPL"
"2019-10-10 14:15:00",0.5409,-0.1575,0.6984,"AAPL"
"2019-10-10 14:00:00",0.6264,-0.1114,0.7378,"AAPL"
"2019-10-10 13:45:00",0.6766,-0.0891,0.7656,"AAPL"
"2019-10-10 13:30:00",0.7427,-0.0452,0.7879,"AAPL"
"2019-10-10 13:15:00",0.7758,-0.0234,0.7992,"AAPL"
"2019-10-10 13:00:00",0.815,0.0099,0.805,"AAPL"
"2019-10-10 12:45:00",0.851,0.0485,0.8025,"AAPL"
"2019-10-10 12:30:00",0.9037,0.1133,0.7904,"AAPL"
"2019-10-10 12:15:00",0.9317,0.1696,0.7621,"AAPL"
"2019-10-10 12:00:00",0.9426,0.2229,0.7197,"AAPL"
"2019-10-10 11:45:00",0.9194,0.2555,0.664,"AAPL"
"2019-10-10 11:30:00",0.8897,0.2896,0.6001,"AAPL"
"2019-10-10 11:15:00",0.8126,0.2849,0.5277,"AAPL"
"2019-10-10 11:00:00",0.7163,0.2598,0.4565,"AAPL"
"2019-10-10 10:45:00",0.6289,0.2373,0.3915,"AAPL"
"2019-10-10 10:30:00",0.5346,0.2024,0.3322,"AAPL"
"2019-10-10 10:15:00",0.44,0.1585,0.2816,"AAPL"
"2019-10-10 10:00:00",0.3201,0.0782,0.242,"AAPL"
"2019-10-10 09:45:00",0.2591,0.0367,0.2224,"AAPL"
"2019-10-09 16:00:00",0.2249,0.0116,0.2132,"AAPL"
"2019-10-09 15:45:00",0.2537,0.0434,0.2103,"AAPL"
"2019-10-09 15:30:00",0.2828,0.0833,0.1995,"AAPL"
"2019-10-09 15:15:00",0.2526,0.074,0.1786,"AAPL"
"2019-10-09 15:00:00",0.2288,0.0686,0.1601,"AAPL"
"2019-10-09 14:45:00",0.2032,0.0602,0.143,"AAPL"
"2019-10-09 14:30:00",0.1914,0.0635,0.1279,"AAPL"
"2019-10-09 14:15:00",0.1844,0.0723,0.1121,"AAPL"
"2019-10-09 14:00:00",0.1951,0.1011,0.094,"AAPL"
"2019-10-09 13:45:00",0.1836,0.1149,0.0687,"AAPL"
"2019-10-09 13:30:00",0.1713,0.1313,0.04,"AAPL"
"2019-10-09 13:15:00",0.1602,0.153,0.0072,"AAPL"
"2019-10-09 13:00:00",0.1203,0.1514,-0.0311,"AAPL"
"2019-10-09 12:45:00",0.0778,0.1467,-0.0689,"AAPL"
"2019-10-09 12:30:00",0.0275,0.1331,-0.1056,"AAPL"
"2019-10-09 12:15:00",-0.0157,0.1232,-0.1389,"AAPL"
"2019-10-09 12:00:00",-0.0787,0.091,-0.1697,"AAPL"
"2019-10-09 11:45:00",-0.1499,0.0426,-0.1925,"AAPL"
"2019-10-09 11:30:00",-0.1673,0.0358,-0.2031,"AAPL"
"2019-10-09 11:15:00",-0.1718,0.0403,-0.2121,"AAPL"
"2019-10-09 11:00:00",-0.1649,0.0573,-0.2221,"AAPL"
"2019-10-09 10:45:00",-0.1803,0.0562,-0.2364,"AAPL"
"2019-10-09 10:30:00",-0.2183,0.0322,-0.2505,"AAPL"
"2019-10-09 10:15:00",-0.2516,0.0069,-0.2585,"AAPL"
"2019-10-09 10:00:00",-0.2742,-0.014,-0.2603,"AAPL"
"2019-10-09 09:45:00",-0.3192,-0.0624,-0.2568,"AAPL"
"2019-10-08 16:00:00",-0.3885,-0.1473,-0.2412,"AAPL"
"2019-10-08 15:45:00",-0.2819,-0.0776,-0.2043,"AAPL"
"2019-10-08 15:30:00",-0.2288,-0.0439,-0.1849,"AAPL"
"2019-10-08 15:15:00",-0.2,-0.026,-0.174,"AAPL"
"2019-10-08 15:00:00",-0.146,0.0214,-0.1675,"AAPL"
"2019-10-08 14:45:00",-0.0659,0.1069,-0.1728,"AAPL"
"2019-10-08 14:30:00",-0.0817,0.1178,-0.1995,"AAPL"
"2019-10-08 14:15:00",-0.0776,0.1514,-0.229,"AAPL"
"2019-10-08 14:00:00",-0.0972,0.1696,-0.2668,"AAPL"
"2019-10-08 13:45:00",-0.1557,0.1536,-0.3092,"AAPL"
"2019-10-08 13:30:00",-0.2291,0.1185,-0.3476,"AAPL"
"2019-10-08 13:15:00",-0.295,0.0822,-0.3773,"AAPL"
"2019-10-08 13:00:00",-0.3596,0.0382,-0.3978,"AAPL"
"2019-10-08 12:45:00",-0.4317,-0.0243,-0.4074,"AAPL"
"2019-10-08 12:30:00",-0.4727,-0.0714,-0.4013,"AAPL"
"2019-10-08 12:15:00",-0.4866,-0.1031,-0.3835,"AAPL"
"2019-10-08 12:00:00",-0.5053,-0.1476,-0.3577,"AAPL"
"2019-10-08 11:45:00",-0.5167,-0.196,-0.3208,"AAPL"
"2019-10-08 11:30:00",-0.5055,-0.2338,-0.2718,"AAPL"
"2019-10-08 11:15:00",-0.4961,-0.2827,-0.2133,"AAPL"
"2019-10-08 11:00:00",-0.489,-0.3463,-0.1427,"AAPL"
"2019-10-08 10:45:00",-0.4403,-0.3842,-0.0561,"AAPL"
"2019-10-08 10:30:00",-0.3849,-0.4249,0.04,"AAPL"
"2019-10-08 10:15:00",-0.3168,-0.463,0.1462,"AAPL"
"2019-10-08 10:00:00",-0.1753,-0.4373,0.2619,"AAPL"
"2019-10-08 09:45:00",-0.0391,-0.4104,0.3713,"AAPL"
"2019-10-07 16:00:00",0.122,-0.3519,0.4739,"AAPL"
"2019-10-07 15:45:00",0.2389,-0.3229,0.5618,"AAPL"
"2019-10-07 15:30:00",0.3118,-0.3307,0.6426,"AAPL"
"2019-10-07 15:15:00",0.3749,-0.3503,0.7253,"AAPL"
"2019-10-07 15:00:00",0.4766,-0.3362,0.8128,"AAPL"
"2019-10-07 14:45:00",0.6737,-0.2232,0.8969,"AAPL"
"2019-10-07 14:30:00",0.7911,-0.1616,0.9527,"AAPL"
"2019-10-07 14:15:00",0.8705,-0.1226,0.9931,"AAPL"
"2019-10-07 14:00:00",0.953,-0.0707,1.0237,"AAPL"
"2019-10-07 13:45:00",0.9336,-0.1078,1.0414,"AAPL"
"2019-10-07 13:30:00",0.9929,-0.0754,1.0683,"AAPL"
"2019-10-07 13:15:00",1.0481,-0.0391,1.0872,"AAPL"
"2019-10-07 13:00:00",1.1068,0.0099,1.097,"AAPL"
"2019-10-07 12:45:00",1.1051,0.0106,1.0945,"AAPL"
"2019-10-07 12:30:00",1.1271,0.0353,1.0918,"AAPL"
"2019-10-07 12:15:00",1.1425,0.0595,1.083,"AAPL"
"2019-10-07 12:00:00",1.1484,0.0803,1.0681,"AAPL"
"2019-10-07 11:45:00",1.1168,0.0688,1.0481,"AAPL"
"2019-10-07 11:30:00",1.0856,0.0547,1.0309,"AAPL"
"2019-10-07 11:15:00",1.0413,0.0241,1.0172,"AAPL"
"2019-10-07 11:00:00",0.9778,-0.0334,1.0112,"AAPL"
"2019-10-07 10:45:00",0.9527,-0.0668,1.0195,"AAPL"
"2019-10-07 10:30:00",0.9272,-0.109,1.0362,"AAPL"
"2019-10-07 10:15:00",0.8832,-0.1803,1.0635,"AAPL"
"2019-10-07 10:00:00",0.8885,-0.22,1.1085,"AAPL"
"2019-10-07 09:45:00",0.9394,-0.2242,1.1636,"AAPL"
"2019-10-04 16:00:00",1.0236,-0.196,1.2196,"AAPL"
"2019-10-04 15:45:00",1.07,-0.1986,1.2686,"AAPL"
"2019-10-04 15:30:00",1.1534,-0.1648,1.3182,"AAPL"
"2019-10-04 15:15:00",1.2411,-0.1183,1.3594,"AAPL"
"2019-10-04 15:00:00",1.3176,-0.0714,1.389,"AAPL"
"2019-10-04 14:45:00",1.3442,-0.0627,1.4069,"AAPL"
"2019-10-04 14:30:00",1.3624,-0.0602,1.4225,"AAPL"
"2019-10-04 14:15:00",1.3628,-0.0748,1.4376,"AAPL"
"2019-10-04 14:00:00",1.3973,-0.059,1.4563,"AAPL"
"2019-10-04 13:45:00",1.4397,-0.0313,1.471,"AAPL"
"2019-10-04 13:30:00",1.4718,-0.007,1.4789,"AAPL"
"2019-10-04 13:15:00",1.4975,0.0168,1.4806,"AAPL"
