"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-11 16:00:00",1.2668,0.0415,1.2252,"AAPL"
"2019-10-11 15:45:00",1.2653,0.0504,1.2148,"AAPL"
"2019-10-11 15:30:00",1.2348,0.0326,1.2022,"AAPL"
"2019-10-11 15:15:00",1.18,-0.0141,1.1941,"AAPL"
"2019-10-11 15:00:00",1.1407,-0.0569,1.1976,"AAPL"
"2019-10-11 14:45:00",1.1269,-0.085,1.2119,"AAPL"
"2019-10-11 14:30:00",1.1418,-0.0913,1.2331,"AAPL"
"2019-10-11 14:15:00",1.1936,-0.0624,1.2559,"AAPL"
"2019-10-11 14:00:00",1.2128,-0.0588,1.2715,"AAPL"
"2019-10-11 13:45:00",1.211,-0.0752,1.2862,"AAPL"
"2019-10-11 13:30:00",1.2481,-0.0569,1.305,"AAPL"
"2019-10-11 13:15:00",1.3044,-0.0149,1.3193,"AAPL"
"2019-10-11 13:00:00",1.3312,0.0082,1.323,"AAPL"
"2019-10-11 12:45:00",1.3745,0.0536,1.3209,"AAPL"
"2019-10-11 12:30:00",1.4211,0.1136,1.3075,"AAPL"
"2019-10-11 12:15:00",1.4502,0.171,1.2791,"AAPL"
"2019-10-11 12:00:00",1.4685,0.2321,1.2364,"AAPL"
"2019-10-11 11:45:00",1.4463,0.2679,1.1784,"AAPL"
"2019-10-11 11:30:00",1.3929,0.2815,1.1114,"AAPL"
"2019-10-11 11:15:00",1.3701,0.3292,1.041,"AAPL"
"2019-10-11 11:00:00",1.34,0.3813,0.9587,"AAPL"
"2019-10-11 10:45:00",1.2892,0.4258,0.8634,"AAPL"
"2019-10-11 10:30:00",1.1653,0.4084,0.7569,"AAPL"
"2019-10-11 10:15:00",0.9891,0.3342,0.6548,"AAPL"
"2019-10-11 10:00:00",0.8095,0.2382,0.5713,"AAPL"
"2019-10-11 09:45:00",0.6286,0.1169,0.5117,"AAPL"
"2019-10-10 16:00:00",0.4039,-0.0785,0.4825,"AAPL"
"2019-10-10 15:45:00",0.4177,-0.0844,0.5021,"AAPL"
"2019-10-10 15:30:00",0.4078,-0.1154,0.5232,"AAPL"
