"times","real_lower_band","real_middle_band","real_upper_band","symbol"
"2019-10-10 15:15:00",22.9272,23.915,24.9028,"TEX"
"2019-10-10 15:00:00",22.9013,23.9254,24.9496,"TEX"
"2019-10-10 14:45:00",22.8723,23.9369,25.0016,"TEX"
"2019-10-10 14:30:00",22.8306,23.9502,25.0698,"TEX"
"2019-10-10 14:15:00",22.7927,23.9633,25.1339,"TEX"
"2019-10-10 14:00:00",22.7625,23.9759,25.1892,"TEX"
"2019-10-10 13:45:00",22.7388,23.9881,25.2374,"TEX"
"2019-10-10 13:30:00",22.7155,24.0002,25.2849,"TEX"
"2019-10-10 13:15:00",22.6935,24.0121,25.3306,"TEX"
"2019-10-10 13:00:00",22.6731,24.0235,25.3739,"TEX"
"2019-10-10 12:45:00",22.6532,24.0354,25.4175,"TEX"
"2019-10-10 12:30:00",22.6347,24.0472,25.4597,"TEX"
"2019-10-10 12:15:00",22.6163,24.0587,25.5011,"TEX"
"2019-10-10 12:00:00",22.6006,24.0695,25.5385,"TEX"
"2019-10-10 11:45:00",22.5848,24.0802,25.5756,"TEX"
"2019-10-10 11:30:00",22.5703,24.091,25.6118,"TEX"
"2019-10-10 11:15:00",22.5583,24.1029,25.6474,"TEX"
"2019-10-10 11:00:00",22.5477,24.1141,25.6805,"TEX"
"2019-10-10 10:45:00",22.5367,24.1252,25.7136,"TEX"
"2019-10-10 10:30:00",22.5267,24.1367,25.7467,"TEX"
"2019-10-10 10:15:00",22.5183,24.146,25.7736,"TEX"
"2019-10-10 10:00:00",22.5106,24.1549,25.7992,"TEX"
"2019-10-10 09:45:00",22.5053,24.1655,25.8257,"TEX"
"2019-10-09 16:00:00",22.5049,24.1767,25.8485,"TEX"
"2019-10-09 15:45:00",22.5065,24.1874,25.8683,"TEX"
"2019-10-09 15:30:00",22.5075,24.1978,25.888,"TEX"
"2019-10-09 15:15:00",22.5098,24.2078,25.9057,"TEX"
"2019-10-09 15:00:00",22.5131,24.2178,25.9225,"TEX"
