"times","open","high","low","close","volume","symbol"
"2019-05-22",28.7,28.97,28.46,28.69,712300,"TEX"
"2019-05-23",28.27,28.49,27.86,28,554600,"TEX"
"2019-05-24",28.31,28.42,27.99,28.13,409200,"TEX"
"2019-05-28",28.15,28.24,27.75,27.76,501400,"TEX"
"2019-05-29",27.5,27.89,27.37,27.82,636900,"TEX"
"2019-05-30",27.91,28.23,27.57,27.71,501800,"TEX"
"2019-05-31",26.94,27.34,26.72,26.77,945500,"TEX"
"2019-06-03",26.61,27.18,26.5916,26.8,1334100,"TEX"
"2019-06-04",27.2,28.04,27.09,27.97,1245800,"TEX"
"2019-06-05",28.07,28.53,27.71,28.22,1007800,"TEX"
"2019-06-06",28.23,28.47,27.46,27.8,774900,"TEX"
"2019-06-07",27.88,28.49,27.87,28.27,778000,"TEX"
"2019-06-10",28.06,28.48,27.57,27.59,3382500,"TEX"
"2019-06-11",27.9813,28.25,27.665,27.84,1219400,"TEX"
"2019-06-12",27.89,28.12,27.57,28.08,770600,"TEX"
"2019-06-13",28.36,29.05,28.26,29.05,733300,"TEX"
"2019-06-14",29.01,29.095,28.0731,28.33,616900,"TEX"
"2019-06-17",28.32,28.89,28.32,28.62,599800,"TEX"
"2019-06-18",28.83,29.655,28.79,29.23,903100,"TEX"
"2019-06-19",29.23,29.73,29.14,29.66,970200,"TEX"
"2019-06-20",30.42,30.55,29.9,30.44,1051500,"TEX"
"2019-06-21",30.44,30.7877,30.156,30.59,915900,"TEX"
"2019-06-24",30.68,31.01,30.57,30.65,676200,"TEX"
"2019-06-25",30.78,31.08,30.51,30.98,1068200,"TEX"
"2019-06-26",31,31.11,30.51,30.75,1187200,"TEX"
"2019-06-27",30.8,31.18,30.8,31.06,1106800,"TEX"
"2019-06-28",31.15,31.7,30.99,31.4,7869700,"TEX"
"2019-07-01",32.09,32.13,30.01,30.72,1722000,"TEX"
"2019-07-02",30.55,30.55,29.38,29.68,1262000,"TEX"
"2019-07-03",29.7485,29.817,29.19,29.51,807700,"TEX"
"2019-07-05",29.32,29.36,28.78,29.06,907200,"TEX"
"2019-07-08",29.05,29.43,28.86,29.17,611300,"TEX"
"2019-07-09",28.9684,29.46,28.79,29.46,1682600,"TEX"
"2019-07-10",29.64,29.8,29.13,29.24,557200,"TEX"
"2019-07-11",29.35,29.49,29,29.31,595200,"TEX"
"2019-07-12",29.23,30.7,29.16,30.64,812900,"TEX"
"2019-07-15",30.72,30.74,30.26,30.56,918100,"TEX"
"2019-07-16",30.45,30.9389,30.17,30.7,777000,"TEX"
"2019-07-17",30.47,30.58,29.54,29.56,1014800,"TEX"
"2019-07-18",29.23,30.02,29.05,29.81,965100,"TEX"
"2019-07-19",29.87,30.81,29.87,30.7,1073000,"TEX"
"2019-07-22",30.82,30.97,30.57,30.68,724900,"TEX"
"2019-07-23",30.9,31.97,30.83,31.9,1014900,"TEX"
"2019-07-24",31.52,32.85,31.4986,32.83,703400,"TEX"
"2019-07-25",32.64,32.64,32.08,32.34,645100,"TEX"
"2019-07-26",32.39,33.09,32.09,33.02,832800,"TEX"
"2019-07-29",33.04,33.4905,32.79,33.14,1618100,"TEX"
"2019-07-30",29.5,32.83,29.34,32.32,3065800,"TEX"
"2019-07-31",32.3889,32.84,30.16,30.45,1564100,"TEX"
"2019-08-01",30.47,30.66,28.6,28.69,1783100,"TEX"
"2019-08-02",28.44,28.57,27.88,28.39,1140300,"TEX"
"2019-08-05",27.57,27.72,26.77,27.01,1602000,"TEX"
"2019-08-06",27.26,27.57,26.55,26.95,902400,"TEX"
"2019-08-07",26.47,26.68,25.85,26.55,1068800,"TEX"
"2019-08-08",26.67,27.08,26.63,26.78,945600,"TEX"
"2019-08-09",26.47,26.73,25.3979,25.62,1156300,"TEX"
"2019-08-12",25.39,25.57,24.89,25.14,714700,"TEX"
"2019-08-13",25.0318,26.09,25.03,25.57,636000,"TEX"
"2019-08-14",24.99,25.2021,23.9,24.15,1839400,"TEX"
"2019-08-15",24.14,24.32,23.13,23.34,1431200,"TEX"
"2019-08-16",23.49,24.5192,23.13,24.46,1757600,"TEX"
"2019-08-19",25,25.05,24.67,24.8,733700,"TEX"
"2019-08-20",24.79,24.91,24.18,24.23,2416700,"TEX"
"2019-08-21",24.76,25.25,24.69,25.08,690000,"TEX"
"2019-08-22",25.23,25.62,25,25.02,1224800,"TEX"
"2019-08-23",24.62,24.89,23.39,23.48,748100,"TEX"
"2019-08-26",23.88,23.99,23.55,23.65,616900,"TEX"
"2019-08-27",23.88,23.88,23.03,23.3,840600,"TEX"
