"times","open","high","low","close","volume","symbol"
"2019-08-27 09:45:00",23.881,23.903,23.7028,23.731,8528,"TEX"
"2019-08-27 10:00:00",23.62,23.79,23.44,23.49,39117,"TEX"
"2019-08-27 10:15:00",23.5208,23.613,23.4828,23.5008,28132,"TEX"
"2019-08-27 10:30:00",23.5499,23.6,23.5,23.5,11144,"TEX"
"2019-08-27 10:45:00",23.48,23.56,23.48,23.54,16258,"TEX"
"2019-08-27 11:00:00",23.53,23.53,23.37,23.39,10332,"TEX"
"2019-08-27 11:15:00",23.375,23.4826,23.3725,23.446,13583,"TEX"
"2019-08-27 11:30:00",23.4708,23.4918,23.3317,23.3608,9585,"TEX"
"2019-08-27 11:45:00",23.33,23.41,23.3,23.33,15755,"TEX"
"2019-08-27 12:00:00",23.34,23.48,23.34,23.4,14017,"TEX"
"2019-08-27 12:15:00",23.39,23.395,23.22,23.23,16736,"TEX"
"2019-08-27 12:30:00",23.25,23.26,23.185,23.2,17736,"TEX"
"2019-08-27 12:45:00",23.2,23.21,23.1,23.105,11662,"TEX"
"2019-08-27 13:00:00",23.11,23.12,23.03,23.06,24485,"TEX"
"2019-08-27 13:15:00",23.05,23.13,23.0379,23.1,22740,"TEX"
"2019-08-27 13:30:00",23.1,23.25,23.08,23.25,42490,"TEX"
"2019-08-27 13:45:00",23.2855,23.4234,23.2683,23.3555,35211,"TEX"
"2019-08-27 14:00:00",23.35,23.36,23.32,23.32,11052,"TEX"
"2019-08-27 14:15:00",23.33,23.35,23.25,23.25,28318,"TEX"
"2019-08-27 14:30:00",23.259,23.31,23.15,23.15,45369,"TEX"
"2019-08-27 14:45:00",23.14,23.21,23.13,23.21,28180,"TEX"
"2019-08-27 15:00:00",23.2,23.34,23.2,23.28,24828,"TEX"
"2019-08-27 15:15:00",23.285,23.34,23.22,23.23,15006,"TEX"
"2019-08-27 15:30:00",23.23,23.24,23.18,23.19,14743,"TEX"
"2019-08-27 15:45:00",23.2008,23.3717,23.1915,23.3208,37906,"TEX"
"2019-08-27 16:00:00",23.32,23.37,23.28,23.29,155857,"TEX"
"2019-08-28 09:45:00",23.1509,23.1722,22.9319,23.0809,26852,"TEX"
"2019-08-28 10:00:00",23.08,23.34,23.04,23.34,33604,"TEX"
"2019-08-28 10:15:00",23.34,23.41,23.15,23.15,20917,"TEX"
"2019-08-28 10:30:00",23.13,23.2126,23.11,23.19,20898,"TEX"
"2019-08-28 10:45:00",23.25,23.38,23.25,23.3501,13290,"TEX"
"2019-08-28 11:00:00",23.35,23.41,23.32,23.35,15022,"TEX"
"2019-08-28 11:15:00",23.38,23.4972,23.36,23.41,44822,"TEX"
"2019-08-28 11:30:00",23.4104,23.6605,23.4002,23.6404,10815,"TEX"
"2019-08-28 11:45:00",23.65,23.75,23.63,23.73,14280,"TEX"
"2019-08-28 12:00:00",23.74,23.85,23.72,23.74,11271,"TEX"
"2019-08-28 12:15:00",23.74,23.74,23.63,23.63,13427,"TEX"
"2019-08-28 12:30:00",23.6248,23.7,23.6,23.6077,12133,"TEX"
"2019-08-28 12:45:00",23.6305,23.6586,23.6006,23.6355,8129,"TEX"
"2019-08-28 13:00:00",23.65,23.67,23.63,23.65,12856,"TEX"
"2019-08-28 13:15:00",23.62,23.65,23.49,23.53,11585,"TEX"
"2019-08-28 13:30:00",23.49,23.55,23.49,23.545,10288,"TEX"
"2019-08-28 13:45:00",23.53,23.58,23.53,23.575,6943,"TEX"
"2019-08-28 14:00:00",23.56,23.57,23.51,23.54,8586,"TEX"
"2019-08-28 14:15:00",23.5356,23.5628,23.5128,23.5206,8678,"TEX"
"2019-08-28 14:30:00",23.53,23.57,23.52,23.57,11090,"TEX"
"2019-08-28 14:45:00",23.57,23.57,23.54,23.54,6182,"TEX"
"2019-08-28 15:00:00",23.54,23.63,23.54,23.6,9122,"TEX"
"2019-08-28 15:15:00",23.5905,23.6286,23.5585,23.5705,9334,"TEX"
"2019-08-28 15:30:00",23.56,23.56,23.45,23.45,9916,"TEX"
"2019-08-28 15:45:00",23.45,23.5,23.44,23.48,21698,"TEX"
"2019-08-28 16:00:00",23.48,23.54,23.45,23.51,76568,"TEX"
"2019-08-29 09:45:00",23.9108,24.1837,23.8534,23.9936,22798,"TEX"
"2019-08-29 10:00:00",23.92,24.21,23.92,24.09,12272,"TEX"
"2019-08-29 10:15:00",24.09,24.29,24.0874,24.205,14758,"TEX"
"2019-08-29 10:30:00",24.2024,24.321,24.2009,24.2804,6356,"TEX"
"2019-08-29 10:45:00",24.2006,24.2535,24.0633,24.1656,17773,"TEX"
"2019-08-29 11:00:00",24.17,24.17,24.07,24.09,3828,"TEX"
"2019-08-29 11:15:00",24.09,24.19,24.08,24.19,4715,"TEX"
"2019-08-29 11:30:00",24.19,24.25,24.18,24.225,4497,"TEX"
"2019-08-29 11:45:00",24.2205,24.3892,24.219,24.3405,13788,"TEX"
"2019-08-29 12:00:00",24.34,24.37,24.27,24.28,11198,"TEX"
"2019-08-29 12:15:00",24.25,24.29,24.25,24.27,4577,"TEX"
"2019-08-29 12:30:00",24.26,24.3,24.26,24.3,4907,"TEX"
"2019-08-29 12:45:00",24.2809,24.3028,24.2227,24.2309,6142,"TEX"
"2019-08-29 13:00:00",24.24,24.28,24.22,24.26,14727,"TEX"
"2019-08-29 13:15:00",24.26,24.26,24.24,24.24,2199,"TEX"
"2019-08-29 13:30:00",24.24,24.34,24.23,24.33,13406,"TEX"
"2019-08-29 13:45:00",24.315,24.41,24.315,24.3963,7595,"TEX"
"2019-08-29 14:00:00",24.39,24.39,24.36,24.37,5953,"TEX"
"2019-08-29 14:15:00",24.375,24.47,24.375,24.47,11578,"TEX"
"2019-08-29 14:30:00",24.47,24.63,24.45,24.61,39487,"TEX"
"2019-08-29 14:45:00",24.61,24.65,24.61,24.64,13180,"TEX"
"2019-08-29 15:00:00",24.64,24.66,24.62,24.64,12063,"TEX"
"2019-08-29 15:15:00",24.62,24.72,24.62,24.62,24514,"TEX"
"2019-08-29 15:30:00",24.625,24.64,24.575,24.575,25125,"TEX"
"2019-08-29 15:45:00",24.565,24.67,24.565,24.63,39422,"TEX"
"2019-08-29 16:00:00",24.63,24.68,24.56,24.63,124174,"TEX"
"2019-08-30 09:45:00",24.9407,25.0643,24.8641,24.9307,19092,"TEX"
"2019-08-30 10:00:00",24.84,24.95,24.83,24.85,9261,"TEX"
"2019-08-30 10:15:00",24.86,25.06,24.82,25,16384,"TEX"
"2019-08-30 10:30:00",25.031,25.0541,24.8739,24.891,7404,"TEX"
"2019-08-30 10:45:00",24.9309,24.9634,24.8733,24.9209,14371,"TEX"
"2019-08-30 11:00:00",24.95,24.98,24.84,24.89,7457,"TEX"
"2019-08-30 11:15:00",24.87,24.87,24.675,24.675,5395,"TEX"
"2019-08-30 11:30:00",24.7,24.8,24.68,24.79,4532,"TEX"
"2019-08-30 11:45:00",24.82,24.87,24.81,24.855,11339,"TEX"
