"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-15 16:00:00",0.1401,-0.0058,0.1459,"TEX"
"2019-10-15 15:45:00",0.1487,0.0013,0.1474,"TEX"
"2019-10-15 15:30:00",0.1507,0.0036,0.1471,"TEX"
"2019-10-15 15:15:00",0.1527,0.0065,0.1462,"TEX"
"2019-10-15 15:00:00",0.1591,0.0146,0.1445,"TEX"
"2019-10-15 14:45:00",0.1579,0.0171,0.1409,"TEX"
"2019-10-15 14:30:00",0.1584,0.0218,0.1366,"TEX"
"2019-10-15 14:15:00",0.158,0.0269,0.1311,"TEX"
"2019-10-15 14:00:00",0.1577,0.0333,0.1244,"TEX"
"2019-10-15 13:45:00",0.153,0.0369,0.1161,"TEX"
"2019-10-15 13:30:00",0.1469,0.04,0.1069,"TEX"
"2019-10-15 13:15:00",0.1418,0.0449,0.0969,"TEX"
"2019-10-15 13:00:00",0.1323,0.0467,0.0856,"TEX"
"2019-10-15 12:45:00",0.1173,0.0434,0.074,"TEX"
"2019-10-15 12:30:00",0.1026,0.0395,0.0631,"TEX"
"2019-10-15 12:15:00",0.0867,0.0334,0.0533,"TEX"
"2019-10-15 12:00:00",0.072,0.0271,0.0449,"TEX"
"2019-10-15 11:45:00",0.0603,0.0222,0.0381,"TEX"
"2019-10-15 11:30:00",0.0536,0.021,0.0326,"TEX"
"2019-10-15 11:15:00",0.0412,0.0139,0.0273,"TEX"
"2019-10-15 11:00:00",0.033,0.0092,0.0239,"TEX"
"2019-10-15 10:45:00",0.0211,-5e-04,0.0216,"TEX"
"2019-10-15 10:30:00",0.0049,-0.0168,0.0217,"TEX"
"2019-10-15 10:15:00",-0.0082,-0.034,0.0259,"TEX"
"2019-10-15 10:00:00",-0.0166,-0.051,0.0344,"TEX"
"2019-10-15 09:45:00",-0.0026,-0.0497,0.0471,"TEX"
"2019-10-14 16:00:00",0.0356,-0.0239,0.0595,"TEX"
"2019-10-14 15:45:00",0.0382,-0.0274,0.0655,"TEX"
