"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-11 16:00:00",0.1915,-0.0458,0.2373,"TEX"
"2019-10-11 15:45:00",0.2052,-0.0435,0.2487,"TEX"
"2019-10-11 15:30:00",0.2132,-0.0464,0.2596,"TEX"
"2019-10-11 15:15:00",0.2248,-0.0464,0.2712,"TEX"
"2019-10-11 15:00:00",0.2334,-0.0494,0.2828,"TEX"
"2019-10-11 14:45:00",0.247,-0.0482,0.2952,"TEX"
"2019-10-11 14:30:00",0.2603,-0.0469,0.3072,"TEX"
"2019-10-11 14:15:00",0.2798,-0.0391,0.3189,"TEX"
"2019-10-11 14:00:00",0.2923,-0.0364,0.3287,"TEX"
"2019-10-11 13:45:00",0.3076,-0.0302,0.3378,"TEX"
"2019-10-11 13:30:00",0.3235,-0.0218,0.3453,"TEX"
"2019-10-11 13:15:00",0.3443,-0.0065,0.3508,"TEX"
"2019-10-11 13:00:00",0.3689,0.0164,0.3524,"TEX"
"2019-10-11 12:45:00",0.3938,0.0455,0.3483,"TEX"
"2019-10-11 12:30:00",0.4083,0.0714,0.3369,"TEX"
"2019-10-11 12:15:00",0.4233,0.1043,0.3191,"TEX"
"2019-10-11 12:00:00",0.4119,0.1189,0.293,"TEX"
"2019-10-11 11:45:00",0.3904,0.1271,0.2633,"TEX"
"2019-10-11 11:30:00",0.3582,0.1266,0.2315,"TEX"
"2019-10-11 11:15:00",0.32,0.1201,0.1999,"TEX"
"2019-10-11 11:00:00",0.288,0.1182,0.1698,"TEX"
"2019-10-11 10:45:00",0.2542,0.1139,0.1403,"TEX"
"2019-10-11 10:30:00",0.2165,0.1048,0.1118,"TEX"
"2019-10-11 10:15:00",0.1775,0.0919,0.0856,"TEX"
"2019-10-11 10:00:00",0.1354,0.0727,0.0626,"TEX"
"2019-10-11 09:45:00",0.0861,0.0417,0.0444,"TEX"
"2019-10-10 16:00:00",0.0223,-0.0117,0.034,"TEX"
"2019-10-10 15:45:00",0.0222,-0.0147,0.0369,"TEX"
"2019-10-10 15:30:00",0.0233,-0.0173,0.0406,"TEX"
"2019-10-10 15:15:00",0.0239,-0.021,0.0449,"TEX"
"2019-10-10 15:00:00",0.0273,-0.0229,0.0502,"TEX"
"2019-10-10 14:45:00",0.0303,-0.0256,0.0559,"TEX"
"2019-10-10 14:30:00",0.0367,-0.0256,0.0623,"TEX"
"2019-10-10 14:15:00",0.0392,-0.0295,0.0687,"TEX"
"2019-10-10 14:00:00",0.0449,-0.0312,0.0761,"TEX"
"2019-10-10 13:45:00",0.0556,-0.0283,0.0839,"TEX"
"2019-10-10 13:30:00",0.0705,-0.0205,0.091,"TEX"
"2019-10-10 13:15:00",0.0813,-0.0148,0.0961,"TEX"
"2019-10-10 13:00:00",0.092,-0.0078,0.0998,"TEX"
"2019-10-10 12:45:00",0.0961,-0.0057,0.1017,"TEX"
"2019-10-10 12:30:00",0.1088,0.0056,0.1032,"TEX"
"2019-10-10 12:15:00",0.1186,0.0169,0.1018,"TEX"
"2019-10-10 12:00:00",0.1254,0.0278,0.0975,"TEX"
"2019-10-10 11:45:00",0.122,0.0314,0.0906,"TEX"
"2019-10-10 11:30:00",0.1169,0.0342,0.0827,"TEX"
