"times","macd","macd_hist","mkacd_signal","symbol"
"2019-10-14 16:00:00",0.0452,-0.029,0.0742,"TEX"
"2019-10-14 15:45:00",0.0489,-0.0325,0.0814,"TEX"
"2019-10-14 15:30:00",0.0564,-0.0331,0.0895,"TEX"
"2019-10-14 15:15:00",0.0667,-0.0311,0.0978,"TEX"
"2019-10-14 15:00:00",0.0779,-0.0277,0.1056,"TEX"
"2019-10-14 14:45:00",0.0941,-0.0185,0.1125,"TEX"
"2019-10-14 14:30:00",0.1042,-0.0129,0.1172,"TEX"
"2019-10-14 14:15:00",0.1126,-0.0078,0.1204,"TEX"
"2019-10-14 14:00:00",0.1216,-7e-04,0.1223,"TEX"
"2019-10-14 13:45:00",0.1273,0.0048,0.1225,"TEX"
"2019-10-14 13:30:00",0.1298,0.0085,0.1213,"TEX"
"2019-10-14 13:15:00",0.131,0.0118,0.1192,"TEX"
"2019-10-14 13:00:00",0.1306,0.0143,0.1163,"TEX"
"2019-10-14 12:45:00",0.1271,0.0145,0.1127,"TEX"
"2019-10-14 12:30:00",0.1183,0.0093,0.109,"TEX"
"2019-10-14 12:15:00",0.102,-0.0048,0.1067,"TEX"
"2019-10-14 12:00:00",0.0977,-0.0102,0.1079,"TEX"
"2019-10-14 11:45:00",0.0909,-0.0195,0.1105,"TEX"
"2019-10-14 11:30:00",0.081,-0.0344,0.1153,"TEX"
"2019-10-14 11:15:00",0.0742,-0.0498,0.1239,"TEX"
"2019-10-14 11:00:00",0.0746,-0.0618,0.1364,"TEX"
"2019-10-14 10:45:00",0.0802,-0.0717,0.1518,"TEX"
"2019-10-14 10:30:00",0.0928,-0.0769,0.1697,"TEX"
"2019-10-14 10:15:00",0.104,-0.085,0.189,"TEX"
"2019-10-14 10:00:00",0.1167,-0.0935,0.2102,"TEX"
"2019-10-14 09:45:00",0.1486,-0.085,0.2336,"TEX"
"2019-10-11 16:00:00",0.2033,-0.0515,0.2549,"TEX"
"2019-10-11 15:45:00",0.2306,-0.0371,0.2677,"TEX"
"2019-10-11 15:30:00",0.2406,-0.0364,0.277,"TEX"
"2019-10-11 15:15:00",0.2479,-0.0382,0.2861,"TEX"
"2019-10-11 15:00:00",0.2573,-0.0384,0.2957,"TEX"
"2019-10-11 14:45:00",0.271,-0.0343,0.3053,"TEX"
"2019-10-11 14:30:00",0.2835,-0.0304,0.3139,"TEX"
"2019-10-11 14:15:00",0.2984,-0.0231,0.3214,"TEX"
"2019-10-11 14:00:00",0.3091,-0.0181,0.3272,"TEX"
"2019-10-11 13:45:00",0.3161,-0.0156,0.3317,"TEX"
"2019-10-11 13:30:00",0.3276,-0.008,0.3357,"TEX"
"2019-10-11 13:15:00",0.3488,0.0111,0.3377,"TEX"
"2019-10-11 13:00:00",0.3635,0.0286,0.3349,"TEX"
"2019-10-11 12:45:00",0.3801,0.0524,0.3277,"TEX"
"2019-10-11 12:30:00",0.3914,0.0767,0.3146,"TEX"
"2019-10-11 12:15:00",0.4019,0.1064,0.2954,"TEX"
"2019-10-11 12:00:00",0.4039,0.1351,0.2688,"TEX"
"2019-10-11 11:45:00",0.3757,0.1406,0.2351,"TEX"
"2019-10-11 11:30:00",0.3336,0.1337,0.1999,"TEX"
"2019-10-11 11:15:00",0.2934,0.1269,0.1665,"TEX"
"2019-10-11 11:00:00",0.2511,0.1164,0.1348,"TEX"
"2019-10-11 10:45:00",0.2118,0.1061,0.1057,"TEX"
"2019-10-11 10:30:00",0.1656,0.0865,0.0791,"TEX"
"2019-10-11 10:15:00",0.1125,0.055,0.0575,"TEX"
"2019-10-11 10:00:00",0.0654,0.0217,0.0438,"TEX"
"2019-10-11 09:45:00",0.0054,-0.0329,0.0384,"TEX"
"2019-10-10 16:00:00",0.0366,-0.01,0.0466,"TEX"
"2019-10-10 15:45:00",0.0413,-0.0077,0.0491,"TEX"
"2019-10-10 15:30:00",0.0386,-0.0124,0.051,"TEX"
"2019-10-10 15:15:00",0.0396,-0.0145,0.0541,"TEX"
"2019-10-10 15:00:00",0.0383,-0.0194,0.0578,"TEX"
"2019-10-10 14:45:00",0.0412,-0.0214,0.0626,"TEX"
"2019-10-10 14:30:00",0.045,-0.023,0.068,"TEX"
"2019-10-10 14:15:00",0.0464,-0.0273,0.0737,"TEX"
"2019-10-10 14:00:00",0.0587,-0.0218,0.0805,"TEX"
"2019-10-10 13:45:00",0.0675,-0.0185,0.086,"TEX"
"2019-10-10 13:30:00",0.0826,-0.008,0.0906,"TEX"
"2019-10-10 13:15:00",0.0907,-0.0019,0.0926,"TEX"
"2019-10-10 13:00:00",0.0957,0.0026,0.0931,"TEX"
"2019-10-10 12:45:00",0.1006,0.0081,0.0925,"TEX"
"2019-10-10 12:30:00",0.1051,0.0147,0.0904,"TEX"
"2019-10-10 12:15:00",0.1107,0.0239,0.0868,"TEX"
"2019-10-10 12:00:00",0.1081,0.0273,0.0808,"TEX"
"2019-10-10 11:45:00",0.1,0.0261,0.074,"TEX"
"2019-10-10 11:30:00",0.0894,0.022,0.0674,"TEX"
"2019-10-10 11:15:00",0.0918,0.0299,0.0619,"TEX"
"2019-10-10 11:00:00",0.0937,0.0392,0.0545,"TEX"
"2019-10-10 10:45:00",0.0926,0.0479,0.0447,"TEX"
"2019-10-10 10:30:00",0.0845,0.0518,0.0327,"TEX"
"2019-10-10 10:15:00",0.0721,0.0524,0.0197,"TEX"
"2019-10-10 10:00:00",0.0397,0.0331,0.0066,"TEX"
"2019-10-10 09:45:00",0.0164,0.0181,-0.0017,"TEX"
"2019-10-09 16:00:00",0.0161,0.0223,-0.0062,"TEX"
"2019-10-09 15:45:00",0.0214,0.0332,-0.0117,"TEX"
"2019-10-09 15:30:00",0.0178,0.0378,-0.02,"TEX"
"2019-10-09 15:15:00",0.0097,0.0392,-0.0295,"TEX"
"2019-10-09 15:00:00",-6e-04,0.0387,-0.0393,"TEX"
"2019-10-09 14:45:00",-0.0118,0.0371,-0.049,"TEX"
"2019-10-09 14:30:00",-0.0229,0.0353,-0.0583,"TEX"
"2019-10-09 14:15:00",-0.0336,0.0334,-0.0671,"TEX"
"2019-10-09 14:00:00",-0.044,0.0315,-0.0755,"TEX"
