"time","macd","macd_hist","macd_signal","symbolsNYSE.i."
2019-10-11 14:00:00,0.3094,-0.0234,0.3328,"TEX"
2019-10-11 13:45:00,0.3197,-0.0189,0.3386,"TEX"
2019-10-11 13:30:00,0.3383,-0.0051,0.3434,"TEX"
2019-10-11 13:15:00,0.3615,0.0168,0.3446,"TEX"
2019-10-11 13:00:00,0.3784,0.0379,0.3404,"TEX"
2019-10-11 12:45:00,0.3965,0.0656,0.331,"TEX"
2019-10-11 12:30:00,0.4026,0.088,0.3146,"TEX"
2019-10-11 12:15:00,0.4147,0.1222,0.2926,"TEX"
2019-10-11 12:00:00,0.3916,0.1296,0.262,"TEX"
2019-10-11 11:45:00,0.3636,0.134,0.2296,"TEX"
2019-10-11 11:30:00,0.3236,0.1275,0.1961,"TEX"
2019-10-11 11:15:00,0.2851,0.1209,0.1642,"TEX"
2019-10-11 11:00:00,0.2461,0.112,0.134,"TEX"
2019-10-11 10:45:00,0.21,0.104,0.106,"TEX"
2019-10-11 10:30:00,0.169,0.089,0.08,"TEX"
2019-10-11 10:15:00,0.1214,0.0636,0.0578,"TEX"
2019-10-11 10:00:00,0.072,0.0302,0.0419,"TEX"
2019-10-11 09:45:00,0.0019,-0.0324,0.0343,"TEX"
2019-10-10 16:00:00,0.0325,-0.01,0.0424,"TEX"
2019-10-10 15:45:00,0.0324,-0.0125,0.0449,"TEX"
2019-10-10 15:30:00,0.031,-0.017,0.0481,"TEX"
2019-10-10 15:15:00,0.0337,-0.0186,0.0523,"TEX"
2019-10-10 15:00:00,0.0356,-0.0214,0.057,"TEX"
2019-10-10 14:45:00,0.0426,-0.0197,0.0623,"TEX"
2019-10-10 14:30:00,0.0458,-0.0214,0.0672,"TEX"
2019-10-10 14:15:00,0.0482,-0.0244,0.0726,"TEX"
2019-10-10 14:00:00,0.0536,-0.0251,0.0787,"TEX"
2019-10-10 13:45:00,0.0669,-0.0181,0.085,"TEX"
2019-10-10 13:30:00,0.0777,-0.0118,0.0895,"TEX"
2019-10-10 13:15:00,0.0864,-0.006,0.0924,"TEX"
2019-10-10 13:00:00,0.0911,-0.0028,0.0939,"TEX"
2019-10-10 12:45:00,0.0999,0.0053,0.0946,"TEX"
2019-10-10 12:30:00,0.1086,0.0153,0.0933,"TEX"
2019-10-10 12:15:00,0.113,0.0235,0.0895,"TEX"
2019-10-10 12:00:00,0.112,0.0284,0.0836,"TEX"
2019-10-10 11:45:00,0.1019,0.0254,0.0765,"TEX"
2019-10-10 11:30:00,0.0936,0.0234,0.0702,"TEX"
2019-10-10 11:15:00,0.1016,0.0372,0.0643,"TEX"
2019-10-10 11:00:00,0.1046,0.0495,0.055,"TEX"
2019-10-10 10:45:00,0.1009,0.0582,0.0427,"TEX"
2019-10-10 10:30:00,0.0976,0.0695,0.0281,"TEX"
2019-10-10 10:15:00,0.0707,0.06,0.0107,"TEX"
2019-10-10 10:00:00,0.0287,0.033,-0.0043,"TEX"
2019-10-10 09:45:00,0.0079,0.0204,-0.0125,"TEX"
2019-10-09 16:00:00,0.0106,0.0282,-0.0176,"TEX"
2019-10-09 15:45:00,0.0099,0.0346,-0.0247,"TEX"
2019-10-09 15:30:00,0.0027,0.0361,-0.0333,"TEX"
2019-10-09 15:15:00,-0.0064,0.0359,-0.0423,"TEX"
