"times","slowd","slowk","symbol"
"2019-10-10 16:00:00",83.1295,83.1469,"TEX"
"2019-10-10 15:45:00",78.3152,83.6098,"TEX"
"2019-10-10 15:30:00",72.584,82.6316,"TEX"
"2019-10-10 15:15:00",63.0261,68.7041,"TEX"
"2019-10-10 15:00:00",58.01,66.4162,"TEX"
"2019-10-10 14:45:00",46.3771,53.9579,"TEX"
"2019-10-10 14:30:00",33.6086,53.6558,"TEX"
"2019-10-10 14:15:00",17.2593,31.5175,"TEX"
"2019-10-10 14:00:00",11.2509,15.6524,"TEX"
"2019-10-10 13:45:00",11.9567,4.608,"TEX"
"2019-10-10 13:30:00",17.8048,13.4921,"TEX"
"2019-10-10 13:15:00",21.844,17.7699,"TEX"
"2019-10-10 13:00:00",29.4915,22.1522,"TEX"
"2019-10-10 12:45:00",42.4628,25.6099,"TEX"
"2019-10-10 12:30:00",56.5269,40.7124,"TEX"
"2019-10-10 12:15:00",59.4275,61.0662,"TEX"
"2019-10-10 12:00:00",47.9731,67.8021,"TEX"
"2019-10-10 11:45:00",33.6398,49.4142,"TEX"
"2019-10-10 11:30:00",31.4696,26.7029,"TEX"
"2019-10-10 11:15:00",44.6396,24.8022,"TEX"
"2019-10-10 11:00:00",63.0863,42.9038,"TEX"
"2019-10-10 10:45:00",78.7526,66.213,"TEX"
"2019-10-10 10:30:00",77.4108,80.1423,"TEX"
"2019-10-10 10:15:00",61.902,89.9025,"TEX"
"2019-10-10 10:00:00",42.0688,62.1875,"TEX"
"2019-10-10 09:45:00",40.4768,33.6159,"TEX"
"2019-10-09 16:00:00",56.6307,30.403,"TEX"
"2019-10-09 15:45:00",72.8374,57.4115,"TEX"
"2019-10-09 15:30:00",79.4621,82.0777,"TEX"
"2019-10-09 15:15:00",75.4459,79.0231,"TEX"
"2019-10-09 15:00:00",76.0302,77.2854,"TEX"
"2019-10-09 14:45:00",78.3541,70.0293,"TEX"
"2019-10-09 14:30:00",85.5827,80.776,"TEX"
"2019-10-09 14:15:00",82.3076,84.2571,"TEX"
"2019-10-09 14:00:00",74.1538,91.7149,"TEX"
"2019-10-09 13:45:00",53.879,70.9507,"TEX"
"2019-10-09 13:30:00",37.8511,59.7957,"TEX"
