"times","real_lower_band","real_middle_band","real_upper_band","symbol","market"
"2019-10-22 15:30:00",26.787,27.8825,28.978,"AAL","NASDAQ"
"2019-10-22 15:15:00",26.7765,27.8764,28.9764,"AAL","NASDAQ"
"2019-10-22 15:00:00",26.7661,27.871,28.976,"AAL","NASDAQ"
"2019-10-22 14:45:00",26.757,27.8658,28.9746,"AAL","NASDAQ"
"2019-10-22 14:30:00",26.7441,27.8597,28.9752,"AAL","NASDAQ"
"2019-10-22 14:15:00",26.72,27.8513,28.9826,"AAL","NASDAQ"
"2019-10-22 14:00:00",26.698,27.8431,28.9882,"AAL","NASDAQ"
"2019-10-22 13:45:00",26.6804,27.8359,28.9915,"AAL","NASDAQ"
"2019-10-22 13:30:00",26.6617,27.8287,28.9957,"AAL","NASDAQ"
"2019-10-22 13:15:00",26.6459,27.8224,28.999,"AAL","NASDAQ"
"2019-10-22 13:00:00",26.6325,27.8167,29.0009,"AAL","NASDAQ"
"2019-10-22 12:45:00",26.6181,27.8106,29.0031,"AAL","NASDAQ"
"2019-10-22 12:30:00",26.6039,27.8043,29.0046,"AAL","NASDAQ"
"2019-10-22 12:15:00",26.5897,27.7978,29.0058,"AAL","NASDAQ"
"2019-10-22 12:00:00",26.5775,27.7915,29.0056,"AAL","NASDAQ"
"2019-10-22 11:45:00",26.5642,27.7851,29.006,"AAL","NASDAQ"
"2019-10-22 11:30:00",26.5491,27.7787,29.0083,"AAL","NASDAQ"
"2019-10-22 11:15:00",26.5329,27.7722,29.0114,"AAL","NASDAQ"
"2019-10-22 11:00:00",26.5181,27.7659,29.0138,"AAL","NASDAQ"
"2019-10-22 10:45:00",26.5039,27.7601,29.0163,"AAL","NASDAQ"
"2019-10-22 10:30:00",26.4875,27.7541,29.0207,"AAL","NASDAQ"
"2019-10-22 10:15:00",26.4714,27.7483,29.0251,"AAL","NASDAQ"
"2019-10-22 10:00:00",26.4515,27.7417,29.0318,"AAL","NASDAQ"
"2019-10-22 09:45:00",26.4361,27.7359,29.0356,"AAL","NASDAQ"
"2019-10-21 16:00:00",26.4208,27.7301,29.0394,"AAL","NASDAQ"
"2019-10-21 15:45:00",26.4052,27.7211,29.037,"AAL","NASDAQ"
"2019-10-21 15:30:00",26.3871,27.7116,29.0361,"AAL","NASDAQ"
"2019-10-21 15:15:00",26.3672,27.7018,29.0365,"AAL","NASDAQ"
"2019-10-21 15:00:00",26.3478,27.692,29.0362,"AAL","NASDAQ"
"2019-10-21 14:45:00",26.3234,27.6816,29.0399,"AAL","NASDAQ"
"2019-10-21 14:30:00",26.2997,27.6715,29.0433,"AAL","NASDAQ"
"2019-10-21 14:15:00",26.2736,27.6609,29.0483,"AAL","NASDAQ"
"2019-10-21 14:00:00",26.249,27.6501,29.0512,"AAL","NASDAQ"
"2019-10-21 13:45:00",26.226,27.6391,29.0523,"AAL","NASDAQ"
"2019-10-21 13:30:00",26.2039,27.6282,29.0525,"AAL","NASDAQ"
"2019-10-21 13:15:00",26.182,27.6172,29.0523,"AAL","NASDAQ"
"2019-10-21 13:00:00",26.16,27.6057,29.0514,"AAL","NASDAQ"
"2019-10-21 12:45:00",26.1405,27.5942,29.048,"AAL","NASDAQ"
"2019-10-21 12:30:00",26.1214,27.5827,29.044,"AAL","NASDAQ"
"2019-10-21 12:15:00",26.1051,27.5717,29.0383,"AAL","NASDAQ"
"2019-10-21 12:00:00",26.0891,27.5608,29.0324,"AAL","NASDAQ"
"2019-10-21 11:45:00",26.0713,27.5492,29.027,"AAL","NASDAQ"
"2019-10-21 11:30:00",26.0539,27.5376,29.0214,"AAL","NASDAQ"
"2019-10-21 11:15:00",26.0391,27.5263,29.0135,"AAL","NASDAQ"
"2019-10-21 11:00:00",26.0233,27.5151,29.0068,"AAL","NASDAQ"
"2019-10-21 10:45:00",26.007,27.5035,29,"AAL","NASDAQ"
"2019-10-21 10:30:00",25.9898,27.4923,28.9948,"AAL","NASDAQ"
"2019-10-21 10:15:00",25.9733,27.481,28.9886,"AAL","NASDAQ"
"2019-10-21 10:00:00",25.9595,27.4696,28.9797,"AAL","NASDAQ"
"2019-10-21 09:45:00",25.9436,27.458,28.9724,"AAL","NASDAQ"
"2019-10-18 16:00:00",25.9264,27.4467,28.967,"AAL","NASDAQ"
"2019-10-18 15:45:00",25.9049,27.4369,28.9688,"AAL","NASDAQ"
"2019-10-18 15:30:00",25.885,27.4273,28.9695,"AAL","NASDAQ"
"2019-10-18 15:15:00",25.8673,27.4177,28.9682,"AAL","NASDAQ"
"2019-10-18 15:00:00",25.8497,27.4082,28.9668,"AAL","NASDAQ"
"2019-10-18 14:45:00",25.8311,27.3986,28.9661,"AAL","NASDAQ"
"2019-10-18 14:30:00",25.8086,27.3884,28.9681,"AAL","NASDAQ"
"2019-10-18 14:15:00",25.7909,27.3787,28.9666,"AAL","NASDAQ"
"2019-10-18 14:00:00",25.7727,27.3693,28.966,"AAL","NASDAQ"
"2019-10-18 13:45:00",25.7549,27.3598,28.9647,"AAL","NASDAQ"
"2019-10-18 13:30:00",25.7364,27.3501,28.9638,"AAL","NASDAQ"
"2019-10-18 13:15:00",25.7186,27.3407,28.9628,"AAL","NASDAQ"
"2019-10-18 13:00:00",25.701,27.3314,28.9618,"AAL","NASDAQ"
"2019-10-18 12:45:00",25.6841,27.3223,28.9605,"AAL","NASDAQ"
"2019-10-18 12:30:00",25.6658,27.3129,28.96,"AAL","NASDAQ"
"2019-10-18 12:15:00",25.647,27.3037,28.9603,"AAL","NASDAQ"
"2019-10-18 12:00:00",25.6285,27.2942,28.9598,"AAL","NASDAQ"
"2019-10-18 11:45:00",25.6106,27.285,28.9594,"AAL","NASDAQ"
"2019-10-18 11:30:00",25.5941,27.2758,28.9575,"AAL","NASDAQ"
"2019-10-18 11:15:00",25.5772,27.2661,28.9551,"AAL","NASDAQ"
"2019-10-18 11:00:00",25.5607,27.2564,28.9521,"AAL","NASDAQ"
"2019-10-18 10:45:00",25.5445,27.247,28.9494,"AAL","NASDAQ"
"2019-10-18 10:30:00",25.5279,27.2374,28.9469,"AAL","NASDAQ"
