"times","real_lower_band","real_middle_band","real_upper_band","symbol","market"
"2019-10-18 15:30:00",25.9444,27.4816,29.0189,"AAL","NASDAQ"
"2019-10-18 15:15:00",25.926,27.4721,29.0182,"AAL","NASDAQ"
"2019-10-18 15:00:00",25.9073,27.4626,29.0178,"AAL","NASDAQ"
"2019-10-18 14:45:00",25.8884,27.4531,29.0178,"AAL","NASDAQ"
"2019-10-18 14:30:00",25.8691,27.4435,29.0178,"AAL","NASDAQ"
"2019-10-18 14:15:00",25.8504,27.4339,29.0174,"AAL","NASDAQ"
"2019-10-18 14:00:00",25.8323,27.4245,29.0167,"AAL","NASDAQ"
"2019-10-18 13:45:00",25.8136,27.4149,29.0162,"AAL","NASDAQ"
"2019-10-18 13:30:00",25.7949,27.4054,29.0159,"AAL","NASDAQ"
"2019-10-18 13:15:00",25.7759,27.3959,29.0159,"AAL","NASDAQ"
"2019-10-18 13:00:00",25.758,27.3868,29.0155,"AAL","NASDAQ"
"2019-10-18 12:45:00",25.74,27.3776,29.0152,"AAL","NASDAQ"
"2019-10-18 12:30:00",25.7212,27.3683,29.0155,"AAL","NASDAQ"
"2019-10-18 12:15:00",25.7028,27.359,29.0152,"AAL","NASDAQ"
"2019-10-18 12:00:00",25.6842,27.3495,29.0148,"AAL","NASDAQ"
"2019-10-18 11:45:00",25.6665,27.3403,29.0141,"AAL","NASDAQ"
"2019-10-18 11:30:00",25.6491,27.3308,29.0124,"AAL","NASDAQ"
"2019-10-18 11:15:00",25.6325,27.3212,29.0099,"AAL","NASDAQ"
"2019-10-18 11:00:00",25.6164,27.3118,29.0073,"AAL","NASDAQ"
"2019-10-18 10:45:00",25.5998,27.3024,29.0049,"AAL","NASDAQ"
"2019-10-18 10:30:00",25.5835,27.293,29.0025,"AAL","NASDAQ"
"2019-10-18 10:15:00",25.5661,27.2835,29.0008,"AAL","NASDAQ"
"2019-10-18 10:00:00",25.5495,27.2735,28.9975,"AAL","NASDAQ"
"2019-10-18 09:45:00",25.5305,27.2629,28.9953,"AAL","NASDAQ"
"2019-10-17 16:00:00",25.5104,27.2526,28.9947,"AAL","NASDAQ"
"2019-10-17 15:45:00",25.4889,27.2429,28.9969,"AAL","NASDAQ"
"2019-10-17 15:30:00",25.4667,27.2332,28.9998,"AAL","NASDAQ"
"2019-10-17 15:15:00",25.446,27.2236,29.0012,"AAL","NASDAQ"
"2019-10-17 15:00:00",25.4244,27.2134,29.0024,"AAL","NASDAQ"
"2019-10-17 14:45:00",25.4008,27.2028,29.0048,"AAL","NASDAQ"
"2019-10-17 14:30:00",25.3811,27.1929,29.0047,"AAL","NASDAQ"
"2019-10-17 14:15:00",25.358,27.182,29.006,"AAL","NASDAQ"
"2019-10-17 14:00:00",25.3358,27.1714,29.007,"AAL","NASDAQ"
"2019-10-17 13:45:00",25.3123,27.1605,29.0087,"AAL","NASDAQ"
"2019-10-17 13:30:00",25.2878,27.1494,29.0109,"AAL","NASDAQ"
"2019-10-17 13:15:00",25.2641,27.1385,29.0129,"AAL","NASDAQ"
"2019-10-17 13:00:00",25.2423,27.1279,29.0134,"AAL","NASDAQ"
"2019-10-17 12:45:00",25.2179,27.1169,29.016,"AAL","NASDAQ"
"2019-10-17 12:30:00",25.1948,27.1061,29.0174,"AAL","NASDAQ"
"2019-10-17 12:15:00",25.1731,27.0953,29.0175,"AAL","NASDAQ"
"2019-10-17 12:00:00",25.1518,27.084,29.0163,"AAL","NASDAQ"
"2019-10-17 11:45:00",25.1309,27.0722,29.0135,"AAL","NASDAQ"
"2019-10-17 11:30:00",25.1106,27.0603,29.0099,"AAL","NASDAQ"
"2019-10-17 11:15:00",25.0928,27.0487,29.0046,"AAL","NASDAQ"
"2019-10-17 11:00:00",25.0748,27.0372,28.9996,"AAL","NASDAQ"
"2019-10-17 10:45:00",25.0563,27.0254,28.9946,"AAL","NASDAQ"
"2019-10-17 10:30:00",25.0374,27.0129,28.9885,"AAL","NASDAQ"
