"times","real_lower_band","real_middle_band","real_upper_band","symbol","market"
"2019-10-21 15:30:00",26.3188,27.6578,28.9969,"AAL","NASDAQ"
"2019-10-21 15:15:00",26.3,27.648,28.9959,"AAL","NASDAQ"
"2019-10-21 15:00:00",26.2757,27.6373,28.999,"AAL","NASDAQ"
"2019-10-21 14:45:00",26.2527,27.6271,29.0016,"AAL","NASDAQ"
"2019-10-21 14:30:00",26.2216,27.6157,29.0097,"AAL","NASDAQ"
"2019-10-21 14:15:00",26.197,27.605,29.0131,"AAL","NASDAQ"
"2019-10-21 14:00:00",26.1736,27.5942,29.0148,"AAL","NASDAQ"
"2019-10-21 13:45:00",26.1518,27.5833,29.0147,"AAL","NASDAQ"
"2019-10-21 13:30:00",26.1309,27.5723,29.0138,"AAL","NASDAQ"
"2019-10-21 13:15:00",26.1084,27.561,29.0136,"AAL","NASDAQ"
"2019-10-21 13:00:00",26.088,27.5495,29.0111,"AAL","NASDAQ"
"2019-10-21 12:45:00",26.0697,27.538,29.0063,"AAL","NASDAQ"
"2019-10-21 12:30:00",26.0519,27.5266,29.0013,"AAL","NASDAQ"
"2019-10-21 12:15:00",26.0368,27.5156,28.9944,"AAL","NASDAQ"
"2019-10-21 12:00:00",26.0194,27.5041,28.9888,"AAL","NASDAQ"
"2019-10-21 11:45:00",26.0027,27.4926,28.9824,"AAL","NASDAQ"
"2019-10-21 11:30:00",25.9867,27.481,28.9754,"AAL","NASDAQ"
"2019-10-21 11:15:00",25.9717,27.4698,28.9679,"AAL","NASDAQ"
"2019-10-21 11:00:00",25.9564,27.4583,28.9603,"AAL","NASDAQ"
"2019-10-21 10:45:00",25.9404,27.4472,28.954,"AAL","NASDAQ"
"2019-10-21 10:30:00",25.9241,27.4359,28.9477,"AAL","NASDAQ"
"2019-10-21 10:15:00",25.9085,27.4246,28.9406,"AAL","NASDAQ"
"2019-10-21 10:00:00",25.8933,27.4132,28.9332,"AAL","NASDAQ"
"2019-10-21 09:45:00",25.8769,27.4019,28.9269,"AAL","NASDAQ"
"2019-10-18 16:00:00",25.8576,27.3912,28.9249,"AAL","NASDAQ"
"2019-10-18 15:45:00",25.8369,27.3813,28.9257,"AAL","NASDAQ"
"2019-10-18 15:30:00",25.8178,27.3716,28.9254,"AAL","NASDAQ"
"2019-10-18 15:15:00",25.8013,27.3621,28.923,"AAL","NASDAQ"
"2019-10-18 15:00:00",25.7833,27.3525,28.9217,"AAL","NASDAQ"
"2019-10-18 14:45:00",25.7606,27.3421,28.9237,"AAL","NASDAQ"
"2019-10-18 14:30:00",25.7393,27.3318,28.9244,"AAL","NASDAQ"
"2019-10-18 14:15:00",25.7216,27.3224,28.9231,"AAL","NASDAQ"
"2019-10-18 14:00:00",25.7047,27.3129,28.9212,"AAL","NASDAQ"
