"times","real_lower_band_high","real_middle_band_high","real_upper_band_high","symbol","market"
"2019-10-09 15:30:00",24.7016,26.159,27.6163,"AAL","NASDAQ"
"2019-10-09 15:15:00",24.7033,26.1576,27.6119,"AAL","NASDAQ"
"2019-10-09 15:00:00",24.7043,26.157,27.6097,"AAL","NASDAQ"
"2019-10-09 14:45:00",24.7052,26.1564,27.6076,"AAL","NASDAQ"
"2019-10-09 14:30:00",24.7062,26.1557,27.6052,"AAL","NASDAQ"
"2019-10-09 14:15:00",24.7053,26.1563,27.6073,"AAL","NASDAQ"
"2019-10-09 14:00:00",24.7032,26.1574,27.6116,"AAL","NASDAQ"
"2019-10-09 13:45:00",24.7043,26.1566,27.6088,"AAL","NASDAQ"
"2019-10-09 13:30:00",24.7058,26.1555,27.6052,"AAL","NASDAQ"
"2019-10-09 13:15:00",24.7072,26.1546,27.602,"AAL","NASDAQ"
"2019-10-09 13:00:00",24.7088,26.1536,27.5984,"AAL","NASDAQ"
"2019-10-09 12:45:00",24.7096,26.1532,27.5967,"AAL","NASDAQ"
"2019-10-09 12:30:00",24.7103,26.1528,27.5953,"AAL","NASDAQ"
"2019-10-09 12:15:00",24.7114,26.1522,27.593,"AAL","NASDAQ"
"2019-10-09 12:00:00",24.7118,26.152,27.5922,"AAL","NASDAQ"
"2019-10-09 11:45:00",24.7107,26.1527,27.5947,"AAL","NASDAQ"
"2019-10-09 11:30:00",24.7091,26.154,27.5988,"AAL","NASDAQ"
"2019-10-09 11:15:00",24.7065,26.1561,27.6058,"AAL","NASDAQ"
"2019-10-09 11:00:00",24.7056,26.1569,27.6082,"AAL","NASDAQ"
"2019-10-09 10:45:00",24.7041,26.1579,27.6118,"AAL","NASDAQ"
"2019-10-09 10:30:00",24.7027,26.1589,27.6151,"AAL","NASDAQ"
"2019-10-09 10:15:00",24.7015,26.1598,27.618,"AAL","NASDAQ"
"2019-10-09 10:00:00",24.7003,26.1606,27.6209,"AAL","NASDAQ"
"2019-10-09 09:45:00",24.6994,26.1614,27.6234,"AAL","NASDAQ"
"2019-10-08 16:00:00",24.6953,26.1642,27.6331,"AAL","NASDAQ"
"2019-10-08 15:45:00",24.6904,26.1696,27.6487,"AAL","NASDAQ"
"2019-10-08 15:30:00",24.6853,26.1741,27.6628,"AAL","NASDAQ"
"2019-10-08 15:15:00",24.6796,26.1792,27.6787,"AAL","NASDAQ"
"2019-10-08 15:00:00",24.6737,26.1837,27.6937,"AAL","NASDAQ"
"2019-10-08 14:45:00",24.6696,26.187,27.7045,"AAL","NASDAQ"
"2019-10-08 14:30:00",24.6653,26.1908,27.7163,"AAL","NASDAQ"
"2019-10-08 14:15:00",24.6567,26.1962,27.7357,"AAL","NASDAQ"
"2019-10-08 14:00:00",24.6556,26.1981,27.7406,"AAL","NASDAQ"
"2019-10-08 13:45:00",24.6537,26.2003,27.747,"AAL","NASDAQ"
"2019-10-08 13:30:00",24.6513,26.2031,27.7549,"AAL","NASDAQ"
"2019-10-08 13:15:00",24.6495,26.2059,27.7622,"AAL","NASDAQ"
"2019-10-08 13:00:00",24.6484,26.2086,27.7689,"AAL","NASDAQ"
"2019-10-08 12:45:00",24.6466,26.2115,27.7765,"AAL","NASDAQ"
"2019-10-08 12:30:00",24.6447,26.2144,27.7842,"AAL","NASDAQ"
"2019-10-08 12:15:00",24.643,26.2179,27.7928,"AAL","NASDAQ"
"2019-10-08 12:00:00",24.6417,26.2212,27.8007,"AAL","NASDAQ"
"2019-10-08 11:45:00",24.6411,26.2253,27.8096,"AAL","NASDAQ"
"2019-10-08 11:30:00",24.6402,26.2282,27.8163,"AAL","NASDAQ"
"2019-10-08 11:15:00",24.6391,26.2312,27.8233,"AAL","NASDAQ"
"2019-10-08 11:00:00",24.6384,26.235,27.8317,"AAL","NASDAQ"
"2019-10-08 10:45:00",24.6379,26.2396,27.8414,"AAL","NASDAQ"
"2019-10-08 10:30:00",24.638,26.2448,27.8516,"AAL","NASDAQ"
"2019-10-08 10:15:00",24.6387,26.2494,27.8601,"AAL","NASDAQ"
"2019-10-08 10:00:00",24.6413,26.255,27.8686,"AAL","NASDAQ"
"2019-10-08 09:45:00",24.6441,26.2601,27.8762,"AAL","NASDAQ"
"2019-10-07 16:00:00",24.6511,26.2671,27.8831,"AAL","NASDAQ"
"2019-10-07 15:45:00",24.6546,26.2732,27.8918,"AAL","NASDAQ"
"2019-10-07 15:30:00",24.6577,26.2794,27.9012,"AAL","NASDAQ"
"2019-10-07 15:15:00",24.6602,26.286,27.9118,"AAL","NASDAQ"
"2019-10-07 15:00:00",24.6629,26.2926,27.9223,"AAL","NASDAQ"
"2019-10-07 14:45:00",24.6666,26.2991,27.9316,"AAL","NASDAQ"
"2019-10-07 14:30:00",24.6693,26.3056,27.9419,"AAL","NASDAQ"
"2019-10-07 14:15:00",24.6714,26.3127,27.954,"AAL","NASDAQ"
"2019-10-07 14:00:00",24.6702,26.3205,27.9708,"AAL","NASDAQ"
"2019-10-07 13:45:00",24.6698,26.328,27.9862,"AAL","NASDAQ"
"2019-10-07 13:30:00",24.67,26.3366,28.0031,"AAL","NASDAQ"
"2019-10-07 13:15:00",24.6706,26.345,28.0193,"AAL","NASDAQ"
"2019-10-07 13:00:00",24.6695,26.3534,28.0374,"AAL","NASDAQ"
"2019-10-07 12:45:00",24.669,26.3621,28.0552,"AAL","NASDAQ"
"2019-10-07 12:30:00",24.6693,26.3709,28.0725,"AAL","NASDAQ"
"2019-10-07 12:15:00",24.6696,26.38,28.0905,"AAL","NASDAQ"
"2019-10-07 12:00:00",24.6703,26.3891,28.1078,"AAL","NASDAQ"
"2019-10-07 11:45:00",24.6713,26.3973,28.1234,"AAL","NASDAQ"
"2019-10-07 11:30:00",24.6739,26.4059,28.1379,"AAL","NASDAQ"
"2019-10-07 11:15:00",24.6766,26.4148,28.1529,"AAL","NASDAQ"
"2019-10-07 11:00:00",24.68,26.424,28.1681,"AAL","NASDAQ"
"2019-10-07 10:45:00",24.6827,26.4334,28.1842,"AAL","NASDAQ"
"2019-10-07 10:30:00",24.6844,26.4427,28.2011,"AAL","NASDAQ"
"2019-10-07 10:15:00",24.6865,26.4517,28.2169,"AAL","NASDAQ"
"2019-10-07 10:00:00",24.6902,26.4607,28.2311,"AAL","NASDAQ"
"2019-10-07 09:45:00",24.6964,26.4706,28.2449,"AAL","NASDAQ"
"2019-10-04 16:00:00",24.7007,26.4797,28.2586,"AAL","NASDAQ"
"2019-10-04 15:45:00",24.7048,26.489,28.2733,"AAL","NASDAQ"
"2019-10-04 15:30:00",24.7091,26.4983,28.2875,"AAL","NASDAQ"
"2019-10-04 15:15:00",24.7164,26.5058,28.2953,"AAL","NASDAQ"
"2019-10-04 15:00:00",24.7238,26.5127,28.3017,"AAL","NASDAQ"
"2019-10-04 14:45:00",24.7311,26.5199,28.3088,"AAL","NASDAQ"
"2019-10-04 14:30:00",24.7376,26.5279,28.3182,"AAL","NASDAQ"
"2019-10-04 14:15:00",24.7452,26.5361,28.3269,"AAL","NASDAQ"
"2019-10-04 14:00:00",24.7542,26.5432,28.3321,"AAL","NASDAQ"
"2019-10-04 13:45:00",24.7635,26.5491,28.3347,"AAL","NASDAQ"
"2019-10-04 13:30:00",24.7724,26.5547,28.337,"AAL","NASDAQ"
"2019-10-04 13:15:00",24.7808,26.5605,28.3403,"AAL","NASDAQ"
"2019-10-04 13:00:00",24.7899,26.566,28.3421,"AAL","NASDAQ"
"2019-10-04 12:45:00",24.799,26.5717,28.3443,"AAL","NASDAQ"
"2019-10-04 12:30:00",24.808,26.578,28.348,"AAL","NASDAQ"
"2019-10-04 12:15:00",24.8176,26.5845,28.3515,"AAL","NASDAQ"
"2019-10-04 12:00:00",24.8277,26.5905,28.3533,"AAL","NASDAQ"
"2019-10-04 11:45:00",24.8389,26.5971,28.3553,"AAL","NASDAQ"
"2019-10-04 11:30:00",24.8511,26.6032,28.3553,"AAL","NASDAQ"
"2019-10-04 11:15:00",24.8639,26.6098,28.3558,"AAL","NASDAQ"
"2019-10-04 11:00:00",24.879,26.6168,28.3546,"AAL","NASDAQ"
"2019-10-04 10:45:00",24.8945,26.6241,28.3536,"AAL","NASDAQ"
"2019-10-04 10:30:00",24.9104,26.6319,28.3534,"AAL","NASDAQ"
"2019-10-04 10:15:00",24.927,26.6405,28.354,"AAL","NASDAQ"
"2019-10-04 10:00:00",24.9455,26.6494,28.3533,"AAL","NASDAQ"
"2019-10-04 09:45:00",24.9681,26.6589,28.3497,"AAL","NASDAQ"
"2019-10-03 16:00:00",24.9863,26.6681,28.3499,"AAL","NASDAQ"
"2019-10-03 15:45:00",25.0063,26.6775,28.3488,"AAL","NASDAQ"
"2019-10-03 15:30:00",25.0266,26.6879,28.3492,"AAL","NASDAQ"
"2019-10-03 15:15:00",25.05,26.6992,28.3484,"AAL","NASDAQ"
"2019-10-03 15:00:00",25.0734,26.7104,28.3474,"AAL","NASDAQ"
"2019-10-03 14:45:00",25.0958,26.7215,28.3472,"AAL","NASDAQ"
"2019-10-03 14:30:00",25.1192,26.7332,28.3473,"AAL","NASDAQ"
"2019-10-03 14:15:00",25.1438,26.7451,28.3465,"AAL","NASDAQ"
"2019-10-03 14:00:00",25.1668,26.7573,28.3479,"AAL","NASDAQ"
"2019-10-03 13:45:00",25.1912,26.7691,28.3469,"AAL","NASDAQ"
"2019-10-03 13:30:00",25.2168,26.7812,28.3456,"AAL","NASDAQ"
"2019-10-03 13:15:00",25.2422,26.7932,28.3441,"AAL","NASDAQ"
"2019-10-03 13:00:00",25.2672,26.8047,28.3422,"AAL","NASDAQ"
"2019-10-03 12:45:00",25.2915,26.8163,28.3411,"AAL","NASDAQ"
"2019-10-03 12:30:00",25.3168,26.828,28.3392,"AAL","NASDAQ"
"2019-10-03 12:15:00",25.3436,26.84,28.3365,"AAL","NASDAQ"
"2019-10-03 12:00:00",25.3745,26.8529,28.3313,"AAL","NASDAQ"
"2019-10-03 11:45:00",25.4042,26.8651,28.3261,"AAL","NASDAQ"
"2019-10-03 11:30:00",25.4341,26.8776,28.3211,"AAL","NASDAQ"
"2019-10-03 11:15:00",25.4639,26.8899,28.3159,"AAL","NASDAQ"
"2019-10-03 11:00:00",25.502,26.9031,28.3043,"AAL","NASDAQ"
"2019-10-03 10:45:00",25.5476,26.9175,28.2874,"AAL","NASDAQ"
"2019-10-03 10:30:00",25.5883,26.931,28.2738,"AAL","NASDAQ"
"2019-10-03 10:15:00",25.6401,26.9458,28.2514,"AAL","NASDAQ"
"2019-10-03 10:00:00",25.6786,26.9587,28.2387,"AAL","NASDAQ"
"2019-10-03 09:45:00",25.7188,26.9718,28.2247,"AAL","NASDAQ"
"2019-10-02 16:00:00",25.7445,26.9825,28.2205,"AAL","NASDAQ"
"2019-10-02 15:45:00",25.7728,26.994,28.2152,"AAL","NASDAQ"
"2019-10-02 15:30:00",25.8013,27.0046,28.2078,"AAL","NASDAQ"
"2019-10-02 15:15:00",25.8299,27.0149,28.1999,"AAL","NASDAQ"
"2019-10-02 15:00:00",25.858,27.0249,28.1918,"AAL","NASDAQ"
"2019-10-02 14:45:00",25.8883,27.0349,28.1815,"AAL","NASDAQ"
"2019-10-02 14:30:00",25.9188,27.0466,28.1744,"AAL","NASDAQ"
"2019-10-02 14:15:00",25.951,27.0588,28.1665,"AAL","NASDAQ"
"2019-10-02 14:00:00",25.9854,27.0705,28.1557,"AAL","NASDAQ"
"2019-10-02 13:45:00",26.0182,27.0841,28.15,"AAL","NASDAQ"
"2019-10-02 13:30:00",26.0476,27.0968,28.1461,"AAL","NASDAQ"
"2019-10-02 13:15:00",26.081,27.1105,28.14,"AAL","NASDAQ"
"2019-10-02 13:00:00",26.1243,27.1249,28.1256,"AAL","NASDAQ"
"2019-10-02 12:45:00",26.1705,27.1399,28.1094,"AAL","NASDAQ"
"2019-10-02 12:30:00",26.2156,27.1543,28.0929,"AAL","NASDAQ"
"2019-10-02 12:15:00",26.2585,27.168,28.0775,"AAL","NASDAQ"
"2019-10-02 12:00:00",26.2977,27.1814,28.0652,"AAL","NASDAQ"
"2019-10-02 11:45:00",26.3353,27.1945,28.0537,"AAL","NASDAQ"
"2019-10-02 11:30:00",26.37,27.2073,28.0445,"AAL","NASDAQ"
"2019-10-02 11:15:00",26.4061,27.2202,28.0343,"AAL","NASDAQ"
"2019-10-02 11:00:00",26.4322,27.2337,28.0352,"AAL","NASDAQ"
"2019-10-02 10:45:00",26.4497,27.2462,28.0427,"AAL","NASDAQ"
"2019-10-02 10:30:00",26.459,27.2574,28.0558,"AAL","NASDAQ"
"2019-10-02 10:15:00",26.4648,27.2682,28.0716,"AAL","NASDAQ"
"2019-10-02 10:00:00",26.4822,27.2801,28.0781,"AAL","NASDAQ"
"2019-10-02 09:45:00",26.4994,27.2917,28.0841,"AAL","NASDAQ"
"2019-10-01 16:00:00",26.5022,27.3011,28.1,"AAL","NASDAQ"
"2019-10-01 15:45:00",26.4996,27.3078,28.1159,"AAL","NASDAQ"
"2019-10-01 15:30:00",26.4983,27.3144,28.1304,"AAL","NASDAQ"
"2019-10-01 15:15:00",26.4983,27.3209,28.1436,"AAL","NASDAQ"
"2019-10-01 15:00:00",26.498,27.3276,28.1572,"AAL","NASDAQ"
"2019-10-01 14:45:00",26.4996,27.3343,28.169,"AAL","NASDAQ"
"2019-10-01 14:30:00",26.5019,27.3415,28.181,"AAL","NASDAQ"
"2019-10-01 14:15:00",26.5054,27.3496,28.1938,"AAL","NASDAQ"
"2019-10-01 14:00:00",26.511,27.3575,28.204,"AAL","NASDAQ"
