"times","open_price","high_price","low_price","close_price","volume","symbol","market"
"01-Jan-1999",1.4621,1.4621,1.4621,1.4621,0,"AAPL","NASDAQ"
"01-Jan-1999",10.5208,10.5208,10.5208,10.5208,0,"ABCB","NASDAQ"
"01-Jan-1999",4.9063,4.9063,4.9063,4.9063,0,"ABMD","NASDAQ"
"01-Jan-1999",2.4167,2.4167,2.4167,2.4167,0,"ACGL","NASDAQ"
"01-Jan-1999",6.13,6.13,6.13,6.13,0,"ACMR","NASDAQ"
"01-Jan-1999",5.8438,5.8438,5.8438,5.8438,0,"ADBE","NASDAQ"
"01-Jan-1999",15.69,15.69,15.69,15.69,0,"ADI","NASDAQ"
"01-Jan-1999",35.2019,35.2019,35.2019,35.2019,0,"ADP","NASDAQ"
"01-Jan-1999",13.6633,13.6633,13.6633,13.6633,0,"ADPT","NASDAQ"
"01-Jan-1999",10.6719,10.6719,10.6719,10.6719,0,"ADSK","NASDAQ"
"01-Jan-1999",8.7919,8.7919,8.7919,8.7919,0,"ADTN","NASDAQ"
"01-Jan-1999",6.125,6.125,6.125,6.125,0,"AEHR","NASDAQ"
"01-Jan-1999",25,25,25,25,0,"AEIS","NASDAQ"
"01-Jan-1999",2400,2400,2400,2400,0,"AEZS","NASDAQ"
"01-Jan-1999",9.375,9.375,9.375,9.375,0,"AGYS","NASDAQ"
"01-Jan-1999",1.625,1.625,1.625,1.625,0,"AHPI","NASDAQ"
"01-Jan-1999",5.125,5.125,5.125,5.125,0,"AIRT","NASDAQ"
"01-Jan-1999",16.9219,16.9219,16.9219,16.9219,0,"ALCO","NASDAQ"
"01-Jan-1999",11.0938,11.0938,11.0938,11.0938,0,"ALKS","NASDAQ"
"01-Jan-1999",3.955,3.955,3.955,3.955,0,"ALOT","NASDAQ"
"01-Jan-1999",15.2188,15.2188,15.2188,15.2188,0,"ALTR","NASDAQ"
"01-Jan-1999",6.6875,6.6875,6.6875,6.6875,0,"ALXN","NASDAQ"
"01-Jan-1999",10.6719,10.6719,10.6719,10.6719,0,"AMAT","NASDAQ"
"01-Jan-1999",14.5,14.5,14.5,14.5,0,"AMD","NASDAQ"
"01-Jan-1999",2.156,2.156,2.156,2.156,0,"AMED","NASDAQ"
"01-Jan-1999",26.14,26.14,26.14,26.14,0,"AMGN","NASDAQ"
"01-Jan-1999",10.8125,10.8125,10.8125,10.8125,0,"AMKR","NASDAQ"
"01-Jan-1999",16.5,16.5,16.5,16.5,0,"AMNB","NASDAQ"
"01-Jan-1999",1,1,1,1,0,"AMOT","NASDAQ"
"01-Jan-1999",4.5,4.5,4.5,4.5,0,"AMPH","NASDAQ"
"01-Jan-1999",8.9533,8.9533,8.9533,8.9533,0,"AMRB","NASDAQ"
"01-Jan-1999",3.5625,3.5625,3.5625,3.5625,0,"AMRN","NASDAQ"
"01-Jan-1999",102.5,102.5,102.5,102.5,0,"AMSC","NASDAQ"
"01-Jan-1999",2.125,2.125,2.125,2.125,0,"AMSWA","NASDAQ"
"01-Jan-1999",5.25,5.25,5.25,5.25,0,"AMTD","NASDAQ"
"01-Jan-1999",17.125,17.125,17.125,17.125,0,"AMWD","NASDAQ"
"01-Jan-1999",53.5469,53.5469,53.5469,53.5469,0,"AMZN","NASDAQ"
"01-Jan-1999",82.75,82.75,82.75,82.75,0,"ANAT","NASDAQ"
"01-Jan-1999",3.854,3.854,3.854,3.854,0,"ANDE","NASDAQ"
"01-Jan-1999",5.375,5.375,5.375,5.375,0,"ANIK","NASDAQ"
"01-Jan-1999",2.75,2.75,2.75,2.75,0,"ANSS","NASDAQ"
"01-Jan-1999",11.25,11.25,11.25,11.25,0,"APOG","NASDAQ"
"01-Jan-1999",10.125,10.125,10.125,10.125,0,"ARKR","NASDAQ"
"01-Jan-1999",14.6512,14.6512,14.6512,14.6512,0,"AROW","NASDAQ"
"01-Jan-1999",4.9375,4.9375,4.9375,4.9375,0,"ARQL","NASDAQ"
"01-Jan-1999",1.9365,1.9365,1.9365,1.9365,0,"ARTL","NASDAQ"
"01-Jan-1999",11.567,11.567,11.567,11.567,0,"ARTNA","NASDAQ"
"01-Jan-1999",5,5,5,5,0,"ARTW","NASDAQ"
"01-Jan-1999",2.75,2.75,2.75,2.75,0,"ARTX","NASDAQ"
"01-Jan-1999",5.2,5.2,5.2,5.2,0,"ARWR","NASDAQ"
"01-Jan-1999",0.4375,0.4375,0.4375,0.4375,0,"ASFI","NASDAQ"
"01-Jan-1999",10.1719,10.1719,10.1719,10.1719,0,"ASML","NASDAQ"
"01-Jan-1999",19.875,19.875,19.875,19.875,0,"ASRV","NASDAQ"
"01-Jan-1999",25.5,25.5,25.5,25.5,0,"ASRVP","NASDAQ"
"01-Jan-1999",27.8125,27.8125,27.8125,27.8125,0,"ASTE","NASDAQ"
"01-Jan-1999",1.25,1.25,1.25,1.25,0,"ASYS","NASDAQ"
"01-Jan-1999",13.8333,13.8333,13.8333,13.8333,0,"ATLO","NASDAQ"
"01-Jan-1999",8,8,8,8,0,"ATRI","NASDAQ"
"01-Jan-1999",3.7538,3.7538,3.7538,3.7538,0,"ATRO","NASDAQ"
"01-Jan-1999",0.927,0.927,0.927,0.927,0,"ATVI","NASDAQ"
"01-Jan-1999",17.375,17.375,17.375,17.375,0,"AUBN","NASDAQ"
"01-Jan-1999",23.375,23.375,23.375,23.375,0,"AVID","NASDAQ"
"01-Jan-1999",27.1875,27.1875,27.1875,27.1875,0,"AWRE","NASDAQ"
"01-Jan-1999",9.125,9.125,9.125,9.125,0,"AXTI","NASDAQ"
"01-Jan-1999",14.5,14.5,14.5,14.5,0,"AZPN","NASDAQ"
"01-Jan-1999",17.938,17.938,17.938,17.938,0,"BANF","NASDAQ"
"01-Jan-1999",152.6875,152.6875,152.6875,152.6875,0,"BANR","NASDAQ"
"01-Jan-1999",3.9375,3.9375,3.9375,3.9375,0,"BASI","NASDAQ"
"01-Jan-1999",17.0625,17.0625,17.0625,17.0625,0,"BBBY","NASDAQ"
"01-Jan-1999",5.6667,5.6667,5.6667,5.6667,0,"BBSI","NASDAQ"
"01-Jan-1999",1.064,1.064,1.064,1.064,0,"BCPC","NASDAQ"
"01-Jan-1999",7,7,7,7,0,"BCRX","NASDAQ"
"01-Jan-1999",20,20,20,20,0,"BELFA","NASDAQ"
"01-Jan-1999",17.1875,17.1875,17.1875,17.1875,0,"BELFB","NASDAQ"
"01-Jan-1999",7.2105,7.2105,7.2105,7.2105,0,"BIIB","NASDAQ"
"01-Jan-1999",3.375,3.375,3.375,3.375,0,"BIOS","NASDAQ"
"01-Jan-1999",1.3438,1.3438,1.3438,1.3438,0,"BJRI","NASDAQ"
"01-Jan-1999",14.0495,14.0495,14.0495,14.0495,0,"BKSC","NASDAQ"
"01-Jan-1999",27.5,27.5,27.5,27.5,0,"BLDP","NASDAQ"
"01-Jan-1999",12.0149,12.0149,12.0149,12.0149,0,"BMRC","NASDAQ"
"01-Jan-1999",13.625,13.625,13.625,13.625,0,"BMTC","NASDAQ"
"01-Jan-1999",5.5,5.5,5.5,5.5,0,"BNSO","NASDAQ"
"01-Jan-1999",5.3021,5.3021,5.3021,5.3021,0,"BOCH","NASDAQ"
"01-Jan-1999",20.935,20.935,20.935,20.935,0,"BOKF","NASDAQ"
"01-Jan-1999",1.875,1.875,1.875,1.875,0,"BOOM","NASDAQ"
"01-Jan-1999",94,94,94,94,0,"BOSC","NASDAQ"
"01-Jan-1999",8.5,8.5,8.5,8.5,0,"BPFH","NASDAQ"
"01-Jan-1999",170,170,170,170,0,"BPOP","NASDAQ"
"01-Jan-1999",12.6875,12.6875,12.6875,12.6875,0,"BRID","NASDAQ"
"01-Jan-1999",5.2584,5.2584,5.2584,5.2584,0,"BRKL","NASDAQ"
"01-Jan-1999",14.625,14.625,14.625,14.625,0,"BRKS","NASDAQ"
"01-Jan-1999",24.125,24.125,24.125,24.125,0,"BSET","NASDAQ"
"01-Jan-1999",8,8,8,8,0,"BSRR","NASDAQ"
"01-Jan-1999",12.1667,12.1667,12.1667,12.1667,0,"BUSE","NASDAQ"
"01-Jan-1999",32.0625,32.0625,32.0625,32.0625,0,"BVSN","NASDAQ"
"01-Jan-1999",3.4688,3.4688,3.4688,3.4688,0,"BYFC","NASDAQ"
"01-Jan-1999",7.3125,7.3125,7.3125,7.3125,0,"CACC","NASDAQ"
"01-Jan-1999",8.7847,8.7847,8.7847,8.7847,0,"CAKE","NASDAQ"
"01-Jan-1999",1.1094,1.1094,1.1094,1.1094,0,"CALM","NASDAQ"
"01-Jan-1999",1.9375,1.9375,1.9375,1.9375,0,"CAMP","NASDAQ"
"01-Jan-1999",4.25,4.25,4.25,4.25,0,"CASA","NASDAQ"
"01-Jan-1999",15,15,15,15,0,"CASH","NASDAQ"
"01-Jan-1999",14.365,14.365,14.365,14.365,0,"CASS","NASDAQ"
"01-Jan-1999",13.0313,13.0313,13.0313,13.0313,0,"CASY","NASDAQ"
"01-Jan-1999",0.2031,0.2031,0.2031,0.2031,0,"CATS","NASDAQ"
"01-Jan-1999",10.25,10.25,10.25,10.25,0,"CATY","NASDAQ"
"01-Jan-1999",8.16,8.16,8.16,8.16,0,"CBAN","NASDAQ"
