"times","open","high","low","close","volume","symbol","market"
"2019-08-28 10:15:00",69.49,69.54,69.48,69.525,170509,"AABA","NASDAQ"
"2019-08-28 10:30:00",69.53,69.53,69.46,69.47,85554,"AABA","NASDAQ"
"2019-08-28 10:45:00",69.48,69.525,69.48,69.495,63760,"AABA","NASDAQ"
"2019-08-28 11:00:00",69.5,69.54,69.47,69.51,165112,"AABA","NASDAQ"
"2019-08-28 11:15:00",69.51,69.525,69.46,69.49,204146,"AABA","NASDAQ"
"2019-08-28 11:30:00",69.5,69.535,69.49,69.525,65009,"AABA","NASDAQ"
"2019-08-28 11:45:00",69.525,69.53,69.47,69.49,33441,"AABA","NASDAQ"
"2019-08-28 12:00:00",69.5,69.51,69.48,69.49,31821,"AABA","NASDAQ"
"2019-08-28 12:15:00",69.48,69.51,69.46,69.4833,232369,"AABA","NASDAQ"
"2019-08-28 12:30:00",69.49,69.49,69.46,69.47,22661,"AABA","NASDAQ"
"2019-08-28 12:45:00",69.465,69.5,69.465,69.485,26788,"AABA","NASDAQ"
"2019-08-28 13:00:00",69.49,69.5,69.47,69.49,25530,"AABA","NASDAQ"
"2019-08-28 13:15:00",69.465,69.5,69.46,69.465,73541,"AABA","NASDAQ"
"2019-08-28 13:30:00",69.465,69.5,69.46,69.475,109775,"AABA","NASDAQ"
"2019-08-28 13:45:00",69.47,69.52,69.47,69.51,95462,"AABA","NASDAQ"
"2019-08-28 14:00:00",69.51,69.54,69.5,69.51,61142,"AABA","NASDAQ"
"2019-08-28 14:15:00",69.5,69.51,69.48,69.485,38315,"AABA","NASDAQ"
"2019-08-28 14:30:00",69.485,69.5,69.48,69.49,28775,"AABA","NASDAQ"
"2019-08-28 14:45:00",69.485,69.5,69.48,69.485,38281,"AABA","NASDAQ"
"2019-08-28 15:00:00",69.49,69.54,69.47,69.51,382818,"AABA","NASDAQ"
"2019-08-28 15:15:00",69.505,69.53,69.495,69.5,244625,"AABA","NASDAQ"
"2019-08-28 15:30:00",69.495,69.52,69.48,69.51,202114,"AABA","NASDAQ"
"2019-08-28 15:45:00",69.515,69.52,69.495,69.515,82617,"AABA","NASDAQ"
"2019-08-28 16:00:00",69.52,69.54,69.3,69.51,1022488,"AABA","NASDAQ"
"2019-08-29 09:45:00",69.63,69.64,69.52,69.53,258889,"AABA","NASDAQ"
"2019-08-29 10:00:00",69.53,69.6,69.51,69.57,112214,"AABA","NASDAQ"
"2019-08-29 10:15:00",69.57,69.6,69.52,69.565,161400,"AABA","NASDAQ"
"2019-08-29 10:30:00",69.56,69.58,69.535,69.57,138436,"AABA","NASDAQ"
"2019-08-29 10:45:00",69.57,69.6,69.53,69.58,207629,"AABA","NASDAQ"
"2019-08-29 11:00:00",69.58,69.59,69.55,69.57,116516,"AABA","NASDAQ"
"2019-08-29 11:15:00",69.565,69.59,69.56,69.59,98222,"AABA","NASDAQ"
"2019-08-29 11:30:00",69.58,69.59,69.55,69.555,190808,"AABA","NASDAQ"
"2019-08-29 11:45:00",69.555,69.6,69.55,69.59,123758,"AABA","NASDAQ"
"2019-08-29 12:00:00",69.59,69.59,69.55,69.56,128422,"AABA","NASDAQ"
"2019-08-29 12:15:00",69.57,69.58,69.55,69.565,135334,"AABA","NASDAQ"
"2019-08-29 12:30:00",69.565,69.575,69.55,69.55,191905,"AABA","NASDAQ"
"2019-08-29 12:45:00",69.555,69.56,69.53,69.545,261081,"AABA","NASDAQ"
"2019-08-29 13:00:00",69.55,69.56,69.52,69.56,395900,"AABA","NASDAQ"
"2019-08-29 13:15:00",69.56,69.56,69.54,69.56,71075,"AABA","NASDAQ"
"2019-08-29 13:30:00",69.555,69.56,69.54,69.5564,135515,"AABA","NASDAQ"
"2019-08-29 13:45:00",69.555,69.6,69.535,69.57,192635,"AABA","NASDAQ"
"2019-08-29 14:00:00",69.57,69.58,69.51,69.52,113615,"AABA","NASDAQ"
"2019-08-29 14:15:00",69.525,69.54,69.51,69.53,126961,"AABA","NASDAQ"
"2019-08-29 14:30:00",69.53,69.555,69.5,69.555,58944,"AABA","NASDAQ"
"2019-08-29 14:45:00",69.55,69.555,69.53,69.54,67250,"AABA","NASDAQ"
"2019-08-29 15:00:00",69.55,69.57,69.53,69.56,84665,"AABA","NASDAQ"
"2019-08-29 15:15:00",69.55,69.56,69.53,69.55,124250,"AABA","NASDAQ"
"2019-08-29 15:30:00",69.54,69.55,69.5,69.505,146064,"AABA","NASDAQ"
"2019-08-29 15:45:00",69.505,69.52,69.48,69.52,153451,"AABA","NASDAQ"
"2019-08-29 16:00:00",69.52,69.52,69.47,69.5,432362,"AABA","NASDAQ"
"2019-08-30 09:45:00",69.5,69.545,69.47,69.495,1139940,"AABA","NASDAQ"
"2019-08-30 10:00:00",69.5,69.55,69.49,69.52,131481,"AABA","NASDAQ"
"2019-08-30 10:15:00",69.51,69.55,69.4949,69.54,342716,"AABA","NASDAQ"
"2019-08-30 10:30:00",69.54,69.55,69.51,69.545,174658,"AABA","NASDAQ"
"2019-08-30 10:45:00",69.55,69.57,69.51,69.52,90119,"AABA","NASDAQ"
"2019-08-30 11:00:00",69.51,69.53,69.5,69.51,164218,"AABA","NASDAQ"
"2019-08-30 11:15:00",69.505,69.53,69.5,69.525,87855,"AABA","NASDAQ"
"2019-08-30 11:30:00",69.525,69.53,69.52,69.53,31813,"AABA","NASDAQ"
"2019-08-30 11:45:00",69.525,69.53,69.51,69.515,298272,"AABA","NASDAQ"
"2019-08-30 12:00:00",69.52,69.52,69.5,69.51,114160,"AABA","NASDAQ"
"2019-08-30 12:15:00",69.5,69.51,69.5,69.51,11859,"AABA","NASDAQ"
"2019-08-30 12:30:00",69.52,69.52,69.51,69.51,250026,"AABA","NASDAQ"
"2019-08-30 12:45:00",69.51,69.525,69.48,69.5,273031,"AABA","NASDAQ"
"2019-08-30 13:00:00",69.5,69.51,69.49,69.51,108553,"AABA","NASDAQ"
"2019-08-30 13:15:00",69.5,69.51,69.49,69.5,56532,"AABA","NASDAQ"
"2019-08-30 13:30:00",69.5,69.5,69.49,69.495,34649,"AABA","NASDAQ"
"2019-08-30 13:45:00",69.49,69.52,69.49,69.5,341946,"AABA","NASDAQ"
"2019-08-30 14:00:00",69.51,69.51,69.47,69.49,83915,"AABA","NASDAQ"
"2019-08-30 14:15:00",69.48,69.505,69.475,69.48,78473,"AABA","NASDAQ"
"2019-08-30 14:30:00",69.48,69.495,69.47,69.475,78749,"AABA","NASDAQ"
"2019-08-30 14:45:00",69.475,69.49,69.46,69.47,87402,"AABA","NASDAQ"
"2019-08-30 15:00:00",69.48,69.49,69.47,69.48,222853,"AABA","NASDAQ"
"2019-08-30 15:15:00",69.48,69.49,69.47,69.475,140846,"AABA","NASDAQ"
