"times","macd","macd_hist","mkacd_signal","symbol","market"
"2019-10-11 15:30:00",0.0494,-0.0441,0.0934,"AAL","NASDAQ"
"2019-10-11 15:15:00",0.0614,-0.0431,0.1045,"AAL","NASDAQ"
"2019-10-11 15:00:00",0.0729,-0.0424,0.1152,"AAL","NASDAQ"
"2019-10-11 14:45:00",0.0799,-0.046,0.1258,"AAL","NASDAQ"
"2019-10-11 14:30:00",0.0881,-0.0492,0.1373,"AAL","NASDAQ"
"2019-10-11 14:15:00",0.0979,-0.0518,0.1496,"AAL","NASDAQ"
"2019-10-11 14:00:00",0.1118,-0.0507,0.1626,"AAL","NASDAQ"
"2019-10-11 13:45:00",0.1241,-0.0511,0.1752,"AAL","NASDAQ"
"2019-10-11 13:30:00",0.1379,-0.0501,0.188,"AAL","NASDAQ"
"2019-10-11 13:15:00",0.1632,-0.0373,0.2005,"AAL","NASDAQ"
"2019-10-11 13:00:00",0.1906,-0.0192,0.2098,"AAL","NASDAQ"
"2019-10-11 12:45:00",0.2065,-0.0081,0.2146,"AAL","NASDAQ"
"2019-10-11 12:30:00",0.2242,0.0075,0.2167,"AAL","NASDAQ"
"2019-10-11 12:15:00",0.2365,0.0217,0.2148,"AAL","NASDAQ"
"2019-10-11 12:00:00",0.2527,0.0433,0.2094,"AAL","NASDAQ"
"2019-10-11 11:45:00",0.252,0.0534,0.1985,"AAL","NASDAQ"
"2019-10-11 11:30:00",0.2515,0.0663,0.1852,"AAL","NASDAQ"
"2019-10-11 11:15:00",0.2406,0.072,0.1686,"AAL","NASDAQ"
"2019-10-11 11:00:00",0.2305,0.0799,0.1506,"AAL","NASDAQ"
"2019-10-11 10:45:00",0.2207,0.09,0.1306,"AAL","NASDAQ"
"2019-10-11 10:30:00",0.2034,0.0953,0.1081,"AAL","NASDAQ"
"2019-10-11 10:15:00",0.1798,0.0955,0.0843,"AAL","NASDAQ"
"2019-10-11 10:00:00",0.1482,0.0878,0.0604,"AAL","NASDAQ"
"2019-10-11 09:45:00",0.1129,0.0744,0.0385,"AAL","NASDAQ"
"2019-10-10 16:00:00",0.0538,0.034,0.0199,"AAL","NASDAQ"
"2019-10-10 15:45:00",0.044,0.0326,0.0114,"AAL","NASDAQ"
"2019-10-10 15:30:00",0.0328,0.0295,0.0032,"AAL","NASDAQ"
"2019-10-10 15:15:00",0.0143,0.0184,-0.0041,"AAL","NASDAQ"
"2019-10-10 15:00:00",-0.0017,0.0071,-0.0087,"AAL","NASDAQ"
"2019-10-10 14:45:00",-0.0129,-0.0024,-0.0105,"AAL","NASDAQ"
"2019-10-10 14:30:00",-0.0125,-0.0026,-0.0099,"AAL","NASDAQ"
"2019-10-10 14:15:00",-0.0136,-0.0044,-0.0093,"AAL","NASDAQ"
"2019-10-10 14:00:00",-0.02,-0.0118,-0.0082,"AAL","NASDAQ"
"2019-10-10 13:45:00",-0.0253,-0.0201,-0.0052,"AAL","NASDAQ"
"2019-10-10 13:30:00",-0.0272,-0.027,-2e-04,"AAL","NASDAQ"
"2019-10-10 13:15:00",-0.0245,-0.031,0.0065,"AAL","NASDAQ"
"2019-10-10 13:00:00",-0.0161,-0.0304,0.0143,"AAL","NASDAQ"
"2019-10-10 12:45:00",-0.0037,-0.0256,0.0219,"AAL","NASDAQ"
"2019-10-10 12:30:00",0.0132,-0.0151,0.0283,"AAL","NASDAQ"
"2019-10-10 12:15:00",0.0275,-0.0046,0.0321,"AAL","NASDAQ"
"2019-10-10 12:00:00",0.029,-0.0042,0.0332,"AAL","NASDAQ"
"2019-10-10 11:45:00",0.0234,-0.0108,0.0343,"AAL","NASDAQ"
"2019-10-10 11:30:00",0.0205,-0.0165,0.037,"AAL","NASDAQ"
"2019-10-10 11:15:00",0.0169,-0.0242,0.0411,"AAL","NASDAQ"
"2019-10-10 11:00:00",0.0071,-0.0401,0.0472,"AAL","NASDAQ"
"2019-10-10 10:45:00",0.0036,-0.0536,0.0572,"AAL","NASDAQ"
"2019-10-10 10:30:00",0.0042,-0.0663,0.0706,"AAL","NASDAQ"
"2019-10-10 10:15:00",0.0111,-0.0761,0.0871,"AAL","NASDAQ"
"2019-10-10 10:00:00",0.0368,-0.0693,0.1062,"AAL","NASDAQ"
"2019-10-10 09:45:00",0.0673,-0.0562,0.1235,"AAL","NASDAQ"
"2019-10-09 16:00:00",0.1051,-0.0325,0.1376,"AAL","NASDAQ"
"2019-10-09 15:45:00",0.1172,-0.0285,0.1457,"AAL","NASDAQ"
"2019-10-09 15:30:00",0.128,-0.0248,0.1528,"AAL","NASDAQ"
"2019-10-09 15:15:00",0.1332,-0.0258,0.159,"AAL","NASDAQ"
"2019-10-09 15:00:00",0.143,-0.0224,0.1655,"AAL","NASDAQ"
"2019-10-09 14:45:00",0.1499,-0.0211,0.1711,"AAL","NASDAQ"
"2019-10-09 14:30:00",0.159,-0.0173,0.1763,"AAL","NASDAQ"
"2019-10-09 14:15:00",0.1649,-0.0158,0.1807,"AAL","NASDAQ"
"2019-10-09 14:00:00",0.1769,-0.0077,0.1846,"AAL","NASDAQ"
"2019-10-09 13:45:00",0.1848,-0.0018,0.1865,"AAL","NASDAQ"
"2019-10-09 13:30:00",0.1956,0.0086,0.187,"AAL","NASDAQ"
"2019-10-09 13:15:00",0.1994,0.0146,0.1848,"AAL","NASDAQ"
"2019-10-09 13:00:00",0.2035,0.0223,0.1812,"AAL","NASDAQ"
"2019-10-09 12:45:00",0.2042,0.0286,0.1756,"AAL","NASDAQ"
"2019-10-09 12:30:00",0.2008,0.0324,0.1684,"AAL","NASDAQ"
"2019-10-09 12:15:00",0.1883,0.028,0.1603,"AAL","NASDAQ"
"2019-10-09 12:00:00",0.168,0.0147,0.1533,"AAL","NASDAQ"
"2019-10-09 11:45:00",0.153,0.0033,0.1497,"AAL","NASDAQ"
"2019-10-09 11:30:00",0.1488,-1e-04,0.1488,"AAL","NASDAQ"
"2019-10-09 11:15:00",0.1528,0.004,0.1488,"AAL","NASDAQ"
"2019-10-09 11:00:00",0.1646,0.0167,0.1479,"AAL","NASDAQ"
"2019-10-09 10:45:00",0.165,0.0214,0.1437,"AAL","NASDAQ"
"2019-10-09 10:30:00",0.1576,0.0193,0.1383,"AAL","NASDAQ"
"2019-10-09 10:15:00",0.1474,0.0138,0.1335,"AAL","NASDAQ"
"2019-10-09 10:00:00",0.13,-1e-04,0.1301,"AAL","NASDAQ"
"2019-10-09 09:45:00",0.0989,-0.0312,0.1301,"AAL","NASDAQ"
"2019-10-08 16:00:00",0.0802,-0.0577,0.1379,"AAL","NASDAQ"
"2019-10-08 15:45:00",0.1081,-0.0442,0.1523,"AAL","NASDAQ"
"2019-10-08 15:30:00",0.135,-0.0283,0.1633,"AAL","NASDAQ"
"2019-10-08 15:15:00",0.149,-0.0214,0.1704,"AAL","NASDAQ"
"2019-10-08 15:00:00",0.1703,-0.0055,0.1758,"AAL","NASDAQ"
"2019-10-08 14:45:00",0.1823,0.0052,0.1771,"AAL","NASDAQ"
"2019-10-08 14:30:00",0.1828,0.0069,0.1758,"AAL","NASDAQ"
"2019-10-08 14:15:00",0.1873,0.0132,0.1741,"AAL","NASDAQ"
"2019-10-08 14:00:00",0.1909,0.0201,0.1708,"AAL","NASDAQ"
"2019-10-08 13:45:00",0.1937,0.028,0.1658,"AAL","NASDAQ"
"2019-10-08 13:30:00",0.1853,0.0265,0.1588,"AAL","NASDAQ"
"2019-10-08 13:15:00",0.1784,0.0263,0.1521,"AAL","NASDAQ"
"2019-10-08 13:00:00",0.1763,0.0307,0.1456,"AAL","NASDAQ"
"2019-10-08 12:45:00",0.1777,0.0398,0.1379,"AAL","NASDAQ"
"2019-10-08 12:30:00",0.1711,0.0432,0.128,"AAL","NASDAQ"
"2019-10-08 12:15:00",0.1574,0.0402,0.1172,"AAL","NASDAQ"
"2019-10-08 12:00:00",0.1502,0.0431,0.1071,"AAL","NASDAQ"
"2019-10-08 11:45:00",0.1389,0.0425,0.0963,"AAL","NASDAQ"
"2019-10-08 11:30:00",0.1418,0.056,0.0857,"AAL","NASDAQ"
"2019-10-08 11:15:00",0.1224,0.0507,0.0717,"AAL","NASDAQ"
"2019-10-08 11:00:00",0.0964,0.0373,0.059,"AAL","NASDAQ"
"2019-10-08 10:45:00",0.0741,0.0244,0.0497,"AAL","NASDAQ"
"2019-10-08 10:30:00",0.0573,0.0137,0.0436,"AAL","NASDAQ"
"2019-10-08 10:15:00",0.0447,0.0045,0.0402,"AAL","NASDAQ"
"2019-10-08 10:00:00",0.0274,-0.0117,0.039,"AAL","NASDAQ"
"2019-10-08 09:45:00",0.0269,-0.0151,0.042,"AAL","NASDAQ"
"2019-10-07 16:00:00",0.0238,-0.0219,0.0457,"AAL","NASDAQ"
"2019-10-07 15:45:00",0.0307,-0.0205,0.0512,"AAL","NASDAQ"
"2019-10-07 15:30:00",0.0376,-0.0188,0.0564,"AAL","NASDAQ"
"2019-10-07 15:15:00",0.0427,-0.0183,0.0611,"AAL","NASDAQ"
"2019-10-07 15:00:00",0.0469,-0.0188,0.0656,"AAL","NASDAQ"
"2019-10-07 14:45:00",0.0528,-0.0175,0.0703,"AAL","NASDAQ"
"2019-10-07 14:30:00",0.0642,-0.0105,0.0747,"AAL","NASDAQ"
"2019-10-07 14:15:00",0.0712,-0.0061,0.0773,"AAL","NASDAQ"
"2019-10-07 14:00:00",0.079,1e-04,0.0789,"AAL","NASDAQ"
"2019-10-07 13:45:00",0.0767,-0.0022,0.0788,"AAL","NASDAQ"
"2019-10-07 13:30:00",0.0721,-0.0073,0.0794,"AAL","NASDAQ"
"2019-10-07 13:15:00",0.0773,-0.0039,0.0812,"AAL","NASDAQ"
"2019-10-07 13:00:00",0.0824,2e-04,0.0822,"AAL","NASDAQ"
"2019-10-07 12:45:00",0.0786,-0.0036,0.0821,"AAL","NASDAQ"
"2019-10-07 12:30:00",0.0766,-0.0064,0.083,"AAL","NASDAQ"
"2019-10-07 12:15:00",0.0786,-0.006,0.0846,"AAL","NASDAQ"
"2019-10-07 12:00:00",0.0807,-0.0054,0.0862,"AAL","NASDAQ"
"2019-10-07 11:45:00",0.0821,-0.0055,0.0875,"AAL","NASDAQ"
"2019-10-07 11:30:00",0.0759,-0.0129,0.0889,"AAL","NASDAQ"
"2019-10-07 11:15:00",0.0767,-0.0154,0.0921,"AAL","NASDAQ"
"2019-10-07 11:00:00",0.079,-0.0169,0.096,"AAL","NASDAQ"
"2019-10-07 10:45:00",0.0896,-0.0106,0.1002,"AAL","NASDAQ"
"2019-10-07 10:30:00",0.0956,-0.0072,0.1029,"AAL","NASDAQ"
"2019-10-07 10:15:00",0.0937,-0.0109,0.1047,"AAL","NASDAQ"
"2019-10-07 10:00:00",0.0909,-0.0165,0.1074,"AAL","NASDAQ"
"2019-10-07 09:45:00",0.0912,-0.0203,0.1115,"AAL","NASDAQ"
"2019-10-04 16:00:00",0.1105,-0.0061,0.1166,"AAL","NASDAQ"
"2019-10-04 15:45:00",0.1123,-0.0058,0.1181,"AAL","NASDAQ"
"2019-10-04 15:30:00",0.1154,-0.0042,0.1196,"AAL","NASDAQ"
"2019-10-04 15:15:00",0.1177,-0.0029,0.1206,"AAL","NASDAQ"
"2019-10-04 15:00:00",0.1236,0.0023,0.1213,"AAL","NASDAQ"
"2019-10-04 14:45:00",0.1262,0.0055,0.1207,"AAL","NASDAQ"
"2019-10-04 14:30:00",0.1272,0.0078,0.1194,"AAL","NASDAQ"
"2019-10-04 14:15:00",0.1245,0.0071,0.1174,"AAL","NASDAQ"
"2019-10-04 14:00:00",0.1274,0.0118,0.1156,"AAL","NASDAQ"
"2019-10-04 13:45:00",0.1319,0.0192,0.1127,"AAL","NASDAQ"
"2019-10-04 13:30:00",0.1367,0.0288,0.1079,"AAL","NASDAQ"
"2019-10-04 13:15:00",0.1384,0.0377,0.1007,"AAL","NASDAQ"
"2019-10-04 13:00:00",0.1331,0.0418,0.0913,"AAL","NASDAQ"
"2019-10-04 12:45:00",0.1293,0.0485,0.0808,"AAL","NASDAQ"
"2019-10-04 12:30:00",0.1224,0.0537,0.0687,"AAL","NASDAQ"
"2019-10-04 12:15:00",0.1098,0.0545,0.0553,"AAL","NASDAQ"
"2019-10-04 12:00:00",0.0958,0.0542,0.0416,"AAL","NASDAQ"
"2019-10-04 11:45:00",0.0791,0.051,0.0281,"AAL","NASDAQ"
"2019-10-04 11:30:00",0.0631,0.0477,0.0153,"AAL","NASDAQ"
"2019-10-04 11:15:00",0.0499,0.0465,0.0034,"AAL","NASDAQ"
"2019-10-04 11:00:00",0.0335,0.0417,-0.0082,"AAL","NASDAQ"
"2019-10-04 10:45:00",0.0227,0.0413,-0.0187,"AAL","NASDAQ"
"2019-10-04 10:30:00",0.0121,0.0411,-0.029,"AAL","NASDAQ"
"2019-10-04 10:15:00",-0.0021,0.0372,-0.0393,"AAL","NASDAQ"
"2019-10-04 10:00:00",-0.0181,0.0304,-0.0486,"AAL","NASDAQ"
"2019-10-04 09:45:00",-0.0301,0.026,-0.0562,"AAL","NASDAQ"
"2019-10-03 16:00:00",-0.0267,0.0359,-0.0627,"AAL","NASDAQ"
"2019-10-03 15:45:00",-0.0362,0.0355,-0.0717,"AAL","NASDAQ"
"2019-10-03 15:30:00",-0.0473,0.0332,-0.0805,"AAL","NASDAQ"
"2019-10-03 15:15:00",-0.0603,0.0285,-0.0888,"AAL","NASDAQ"
"2019-10-03 15:00:00",-0.0623,0.0337,-0.0959,"AAL","NASDAQ"
"2019-10-03 14:45:00",-0.0664,0.038,-0.1044,"AAL","NASDAQ"
"2019-10-03 14:30:00",-0.0757,0.0382,-0.1139,"AAL","NASDAQ"
"2019-10-03 14:15:00",-0.0817,0.0417,-0.1234,"AAL","NASDAQ"
"2019-10-03 14:00:00",-0.0859,0.0479,-0.1338,"AAL","NASDAQ"
"2019-10-03 13:45:00",-0.0961,0.0497,-0.1458,"AAL","NASDAQ"
"2019-10-03 13:30:00",-0.1053,0.053,-0.1582,"AAL","NASDAQ"
"2019-10-03 13:15:00",-0.1123,0.0592,-0.1715,"AAL","NASDAQ"
"2019-10-03 13:00:00",-0.1231,0.0631,-0.1863,"AAL","NASDAQ"
"2019-10-03 12:45:00",-0.1383,0.0638,-0.202,"AAL","NASDAQ"
"2019-10-03 12:30:00",-0.1592,0.0587,-0.218,"AAL","NASDAQ"
"2019-10-03 12:15:00",-0.1821,0.0505,-0.2327,"AAL","NASDAQ"
"2019-10-03 12:00:00",-0.2056,0.0397,-0.2453,"AAL","NASDAQ"
"2019-10-03 11:45:00",-0.2182,0.037,-0.2552,"AAL","NASDAQ"
"2019-10-03 11:30:00",-0.2375,0.027,-0.2645,"AAL","NASDAQ"
"2019-10-03 11:15:00",-0.2598,0.0114,-0.2712,"AAL","NASDAQ"
"2019-10-03 11:00:00",-0.2884,-0.0143,-0.2741,"AAL","NASDAQ"
"2019-10-03 10:45:00",-0.2961,-0.0256,-0.2705,"AAL","NASDAQ"
"2019-10-03 10:30:00",-0.2819,-0.0178,-0.2641,"AAL","NASDAQ"
"2019-10-03 10:15:00",-0.2763,-0.0167,-0.2596,"AAL","NASDAQ"
"2019-10-03 10:00:00",-0.2389,0.0166,-0.2555,"AAL","NASDAQ"
"2019-10-03 09:45:00",-0.2292,0.0304,-0.2596,"AAL","NASDAQ"
"2019-10-02 16:00:00",-0.2095,0.0577,-0.2672,"AAL","NASDAQ"
"2019-10-02 15:45:00",-0.2211,0.0606,-0.2816,"AAL","NASDAQ"
"2019-10-02 15:30:00",-0.2325,0.0643,-0.2968,"AAL","NASDAQ"
"2019-10-02 15:15:00",-0.25,0.0629,-0.3129,"AAL","NASDAQ"
"2019-10-02 15:00:00",-0.2691,0.0594,-0.3286,"AAL","NASDAQ"
"2019-10-02 14:45:00",-0.2942,0.0493,-0.3434,"AAL","NASDAQ"
"2019-10-02 14:30:00",-0.3168,0.0389,-0.3558,"AAL","NASDAQ"
"2019-10-02 14:15:00",-0.339,0.0265,-0.3655,"AAL","NASDAQ"
"2019-10-02 14:00:00",-0.3581,0.014,-0.3721,"AAL","NASDAQ"
"2019-10-02 13:45:00",-0.3765,-9e-04,-0.3756,"AAL","NASDAQ"
"2019-10-02 13:30:00",-0.392,-0.0166,-0.3754,"AAL","NASDAQ"
"2019-10-02 13:15:00",-0.4177,-0.0465,-0.3712,"AAL","NASDAQ"
"2019-10-02 13:00:00",-0.4343,-0.0747,-0.3596,"AAL","NASDAQ"
"2019-10-02 12:45:00",-0.4308,-0.0899,-0.3409,"AAL","NASDAQ"
"2019-10-02 12:30:00",-0.414,-0.0956,-0.3185,"AAL","NASDAQ"
"2019-10-02 12:15:00",-0.3937,-0.0991,-0.2946,"AAL","NASDAQ"
"2019-10-02 12:00:00",-0.3721,-0.1023,-0.2698,"AAL","NASDAQ"
"2019-10-02 11:45:00",-0.3515,-0.1072,-0.2442,"AAL","NASDAQ"
"2019-10-02 11:30:00",-0.3272,-0.1097,-0.2174,"AAL","NASDAQ"
"2019-10-02 11:15:00",-0.3005,-0.1105,-0.19,"AAL","NASDAQ"
"2019-10-02 11:00:00",-0.2601,-0.0977,-0.1624,"AAL","NASDAQ"
"2019-10-02 10:45:00",-0.219,-0.081,-0.1379,"AAL","NASDAQ"
