"times","macd","macd_hist","mkacd_signal","symbol","market"
"2019-10-11 15:30:00",0.0449,-0.0479,0.0928,"AAL","NASDAQ"
"2019-10-11 15:15:00",0.0576,-0.0472,0.1048,"AAL","NASDAQ"
"2019-10-11 15:00:00",0.0668,-0.0498,0.1166,"AAL","NASDAQ"
"2019-10-11 14:45:00",0.0771,-0.052,0.1291,"AAL","NASDAQ"
"2019-10-11 14:30:00",0.0881,-0.054,0.1421,"AAL","NASDAQ"
"2019-10-11 14:15:00",0.0999,-0.0557,0.1556,"AAL","NASDAQ"
"2019-10-11 14:00:00",0.1127,-0.0568,0.1695,"AAL","NASDAQ"
"2019-10-11 13:45:00",0.1297,-0.054,0.1837,"AAL","NASDAQ"
"2019-10-11 13:30:00",0.1516,-0.0456,0.1972,"AAL","NASDAQ"
"2019-10-11 13:15:00",0.1793,-0.0293,0.2086,"AAL","NASDAQ"
"2019-10-11 13:00:00",0.2018,-0.0141,0.2159,"AAL","NASDAQ"
"2019-10-11 12:45:00",0.2165,-0.0029,0.2194,"AAL","NASDAQ"
"2019-10-11 12:30:00",0.2309,0.0108,0.2201,"AAL","NASDAQ"
"2019-10-11 12:15:00",0.2494,0.0319,0.2174,"AAL","NASDAQ"
"2019-10-11 12:00:00",0.2527,0.0432,0.2095,"AAL","NASDAQ"
"2019-10-11 11:45:00",0.2559,0.0572,0.1987,"AAL","NASDAQ"
"2019-10-11 11:30:00",0.2486,0.0643,0.1843,"AAL","NASDAQ"
"2019-10-11 11:15:00",0.2388,0.0705,0.1683,"AAL","NASDAQ"
"2019-10-11 11:00:00",0.2309,0.0803,0.1506,"AAL","NASDAQ"
"2019-10-11 10:45:00",0.2205,0.09,0.1306,"AAL","NASDAQ"
"2019-10-11 10:30:00",0.2072,0.0991,0.1081,"AAL","NASDAQ"
"2019-10-11 10:15:00",0.186,0.1027,0.0833,"AAL","NASDAQ"
"2019-10-11 10:00:00",0.1577,0.1001,0.0576,"AAL","NASDAQ"
"2019-10-11 09:45:00",0.1103,0.0777,0.0326,"AAL","NASDAQ"
"2019-10-10 16:00:00",0.046,0.0327,0.0132,"AAL","NASDAQ"
"2019-10-10 15:45:00",0.0351,0.0301,0.005,"AAL","NASDAQ"
"2019-10-10 15:30:00",0.0228,0.0253,-0.0025,"AAL","NASDAQ"
"2019-10-10 15:15:00",0.0063,0.0151,-0.0088,"AAL","NASDAQ"
"2019-10-10 15:00:00",-0.0063,0.0063,-0.0126,"AAL","NASDAQ"
"2019-10-10 14:45:00",-0.015,-9e-04,-0.0142,"AAL","NASDAQ"
"2019-10-10 14:30:00",-0.0174,-0.0034,-0.014,"AAL","NASDAQ"
"2019-10-10 14:15:00",-0.0212,-0.008,-0.0131,"AAL","NASDAQ"
"2019-10-10 14:00:00",-0.0272,-0.0161,-0.0111,"AAL","NASDAQ"
"2019-10-10 13:45:00",-0.0324,-0.0253,-0.0071,"AAL","NASDAQ"
"2019-10-10 13:30:00",-0.0305,-0.0297,-8e-04,"AAL","NASDAQ"
"2019-10-10 13:15:00",-0.0256,-0.0322,0.0067,"AAL","NASDAQ"
"2019-10-10 13:00:00",-0.0138,-0.0286,0.0147,"AAL","NASDAQ"
"2019-10-10 12:45:00",0.0054,-0.0164,0.0219,"AAL","NASDAQ"
"2019-10-10 12:30:00",0.0228,-0.0032,0.026,"AAL","NASDAQ"
"2019-10-10 12:15:00",0.0268,1e-04,0.0268,"AAL","NASDAQ"
"2019-10-10 12:00:00",0.0245,-0.0022,0.0267,"AAL","NASDAQ"
"2019-10-10 11:45:00",0.0145,-0.0128,0.0273,"AAL","NASDAQ"
"2019-10-10 11:30:00",0.0117,-0.0188,0.0305,"AAL","NASDAQ"
"2019-10-10 11:15:00",0.0055,-0.0297,0.0352,"AAL","NASDAQ"
"2019-10-10 11:00:00",-0.0016,-0.0442,0.0426,"AAL","NASDAQ"
"2019-10-10 10:45:00",-9e-04,-0.0545,0.0537,"AAL","NASDAQ"
"2019-10-10 10:30:00",0.0015,-0.0658,0.0673,"AAL","NASDAQ"
"2019-10-10 10:15:00",0.0112,-0.0726,0.0837,"AAL","NASDAQ"
"2019-10-10 10:00:00",0.0351,-0.0668,0.1019,"AAL","NASDAQ"
"2019-10-10 09:45:00",0.0635,-0.0551,0.1186,"AAL","NASDAQ"
"2019-10-09 16:00:00",0.1019,-0.0305,0.1323,"AAL","NASDAQ"
"2019-10-09 15:45:00",0.1123,-0.0277,0.14,"AAL","NASDAQ"
"2019-10-09 15:30:00",0.1194,-0.0275,0.1469,"AAL","NASDAQ"
