"times","macd","macd_hist","mkacd_signal","symbol","market"
"2019-10-11 15:30:00",0.063,-0.0408,0.1038,"AAL","NASDAQ"
"2019-10-11 15:15:00",0.075,-0.039,0.114,"AAL","NASDAQ"
"2019-10-11 15:00:00",0.0844,-0.0394,0.1238,"AAL","NASDAQ"
"2019-10-11 14:45:00",0.0911,-0.0425,0.1336,"AAL","NASDAQ"
"2019-10-11 14:30:00",0.0972,-0.047,0.1442,"AAL","NASDAQ"
"2019-10-11 14:15:00",0.1073,-0.0487,0.156,"AAL","NASDAQ"
"2019-10-11 14:00:00",0.1188,-0.0493,0.1682,"AAL","NASDAQ"
"2019-10-11 13:45:00",0.1285,-0.052,0.1805,"AAL","NASDAQ"
"2019-10-11 13:30:00",0.1476,-0.0459,0.1935,"AAL","NASDAQ"
"2019-10-11 13:15:00",0.1723,-0.0326,0.205,"AAL","NASDAQ"
"2019-10-11 13:00:00",0.1974,-0.0158,0.2131,"AAL","NASDAQ"
"2019-10-11 12:45:00",0.2085,-0.0086,0.2171,"AAL","NASDAQ"
"2019-10-11 12:30:00",0.2318,0.0126,0.2192,"AAL","NASDAQ"
"2019-10-11 12:15:00",0.2467,0.0306,0.2161,"AAL","NASDAQ"
"2019-10-11 12:00:00",0.2585,0.0501,0.2084,"AAL","NASDAQ"
"2019-10-11 11:45:00",0.2577,0.0618,0.1959,"AAL","NASDAQ"
"2019-10-11 11:30:00",0.2513,0.0708,0.1805,"AAL","NASDAQ"
"2019-10-11 11:15:00",0.2405,0.0778,0.1627,"AAL","NASDAQ"
"2019-10-11 11:00:00",0.2289,0.0856,0.1433,"AAL","NASDAQ"
"2019-10-11 10:45:00",0.2122,0.0903,0.1219,"AAL","NASDAQ"
"2019-10-11 10:30:00",0.1909,0.0916,0.0993,"AAL","NASDAQ"
"2019-10-11 10:15:00",0.164,0.0876,0.0764,"AAL","NASDAQ"
"2019-10-11 10:00:00",0.135,0.0805,0.0545,"AAL","NASDAQ"
"2019-10-11 09:45:00",0.0985,0.0641,0.0344,"AAL","NASDAQ"
"2019-10-10 16:00:00",0.0549,0.0366,0.0183,"AAL","NASDAQ"
"2019-10-10 15:45:00",0.0414,0.0322,0.0092,"AAL","NASDAQ"
"2019-10-10 15:30:00",0.025,0.0239,0.0011,"AAL","NASDAQ"
"2019-10-10 15:15:00",0.0089,0.0137,-0.0049,"AAL","NASDAQ"
"2019-10-10 15:00:00",-0.0058,0.0025,-0.0083,"AAL","NASDAQ"
"2019-10-10 14:45:00",-0.0091,-1e-04,-0.0089,"AAL","NASDAQ"
"2019-10-10 14:30:00",-0.0122,-0.0033,-0.0089,"AAL","NASDAQ"
"2019-10-10 14:15:00",-0.017,-0.0089,-0.0081,"AAL","NASDAQ"
"2019-10-10 14:00:00",-0.0188,-0.0129,-0.0059,"AAL","NASDAQ"
"2019-10-10 13:45:00",-0.0249,-0.0223,-0.0026,"AAL","NASDAQ"
"2019-10-10 13:30:00",-0.0191,-0.022,0.003,"AAL","NASDAQ"
"2019-10-10 13:15:00",-0.0155,-0.0239,0.0085,"AAL","NASDAQ"
"2019-10-10 13:00:00",-0.0096,-0.0241,0.0144,"AAL","NASDAQ"
"2019-10-10 12:45:00",0.0036,-0.0169,0.0205,"AAL","NASDAQ"
"2019-10-10 12:30:00",0.0194,-0.0053,0.0247,"AAL","NASDAQ"
"2019-10-10 12:15:00",0.0286,0.0026,0.026,"AAL","NASDAQ"
"2019-10-10 12:00:00",0.0241,-0.0012,0.0254,"AAL","NASDAQ"
"2019-10-10 11:45:00",0.0186,-0.0071,0.0257,"AAL","NASDAQ"
"2019-10-10 11:30:00",0.0092,-0.0182,0.0274,"AAL","NASDAQ"
"2019-10-10 11:15:00",2e-04,-0.0318,0.032,"AAL","NASDAQ"
"2019-10-10 11:00:00",-0.0063,-0.0462,0.0399,"AAL","NASDAQ"
"2019-10-10 10:45:00",-0.0114,-0.0628,0.0515,"AAL","NASDAQ"
"2019-10-10 10:30:00",-0.0136,-0.0808,0.0672,"AAL","NASDAQ"
"2019-10-10 10:15:00",0.001,-0.0864,0.0874,"AAL","NASDAQ"
"2019-10-10 10:00:00",0.0278,-0.0812,0.109,"AAL","NASDAQ"
"2019-10-10 09:45:00",0.0636,-0.0657,0.1293,"AAL","NASDAQ"
"2019-10-09 16:00:00",0.1165,-0.0293,0.1457,"AAL","NASDAQ"
"2019-10-09 15:45:00",0.1281,-0.025,0.1531,"AAL","NASDAQ"
"2019-10-09 15:30:00",0.1362,-0.0231,0.1593,"AAL","NASDAQ"
"2019-10-09 15:15:00",0.1446,-0.0204,0.1651,"AAL","NASDAQ"
"2019-10-09 15:00:00",0.1518,-0.0184,0.1702,"AAL","NASDAQ"
"2019-10-09 14:45:00",0.1574,-0.0174,0.1748,"AAL","NASDAQ"
"2019-10-09 14:30:00",0.1634,-0.0157,0.1791,"AAL","NASDAQ"
"2019-10-09 14:15:00",0.1714,-0.0116,0.183,"AAL","NASDAQ"
"2019-10-09 14:00:00",0.1816,-0.0043,0.1859,"AAL","NASDAQ"
"2019-10-09 13:45:00",0.1905,0.0035,0.187,"AAL","NASDAQ"
"2019-10-09 13:30:00",0.1971,0.0109,0.1861,"AAL","NASDAQ"
"2019-10-09 13:15:00",0.2019,0.0185,0.1834,"AAL","NASDAQ"
"2019-10-09 13:00:00",0.2051,0.0263,0.1788,"AAL","NASDAQ"
"2019-10-09 12:45:00",0.2034,0.0312,0.1722,"AAL","NASDAQ"
