"times","macd","macd_hist","mkacd_signal","symbol","market"
"2019-10-11 15:30:00",0.0573,-0.0434,0.1008,"AAL","NASDAQ"
"2019-10-11 15:15:00",0.0686,-0.0431,0.1116,"AAL","NASDAQ"
"2019-10-11 15:00:00",0.0764,-0.046,0.1224,"AAL","NASDAQ"
"2019-10-11 14:45:00",0.0843,-0.0496,0.1339,"AAL","NASDAQ"
"2019-10-11 14:30:00",0.0935,-0.0528,0.1463,"AAL","NASDAQ"
"2019-10-11 14:15:00",0.1076,-0.0519,0.1595,"AAL","NASDAQ"
"2019-10-11 14:00:00",0.1188,-0.0536,0.1725,"AAL","NASDAQ"
"2019-10-11 13:45:00",0.1326,-0.0533,0.1859,"AAL","NASDAQ"
"2019-10-11 13:30:00",0.1573,-0.0419,0.1992,"AAL","NASDAQ"
"2019-10-11 13:15:00",0.185,-0.0246,0.2097,"AAL","NASDAQ"
"2019-10-11 13:00:00",0.203,-0.0128,0.2158,"AAL","NASDAQ"
"2019-10-11 12:45:00",0.221,0.0019,0.219,"AAL","NASDAQ"
"2019-10-11 12:30:00",0.2339,0.0154,0.2186,"AAL","NASDAQ"
"2019-10-11 12:15:00",0.2507,0.036,0.2147,"AAL","NASDAQ"
"2019-10-11 12:00:00",0.2516,0.0459,0.2057,"AAL","NASDAQ"
"2019-10-11 11:45:00",0.2528,0.0586,0.1942,"AAL","NASDAQ"
"2019-10-11 11:30:00",0.2445,0.065,0.1796,"AAL","NASDAQ"
"2019-10-11 11:15:00",0.237,0.0737,0.1633,"AAL","NASDAQ"
"2019-10-11 11:00:00",0.2296,0.0847,0.1449,"AAL","NASDAQ"
"2019-10-11 10:45:00",0.2168,0.0931,0.1237,"AAL","NASDAQ"
"2019-10-11 10:30:00",0.1973,0.0968,0.1005,"AAL","NASDAQ"
"2019-10-11 10:15:00",0.1722,0.0959,0.0763,"AAL","NASDAQ"
"2019-10-11 10:00:00",0.1441,0.0918,0.0523,"AAL","NASDAQ"
"2019-10-11 09:45:00",0.0919,0.0626,0.0293,"AAL","NASDAQ"
"2019-10-10 16:00:00",0.0463,0.0326,0.0137,"AAL","NASDAQ"
"2019-10-10 15:45:00",0.0353,0.0298,0.0055,"AAL","NASDAQ"
"2019-10-10 15:30:00",0.0172,0.0191,-0.0019,"AAL","NASDAQ"
"2019-10-10 15:15:00",5e-04,0.0071,-0.0067,"AAL","NASDAQ"
