"times","slowd","slowk","symbol","market"
"2019-10-11 15:30:00",43.0204,23.0242,"AAL","NASDAQ"
"2019-10-11 15:15:00",55.4905,41.3837,"AAL","NASDAQ"
"2019-10-11 15:00:00",58.7758,64.6531,"AAL","NASDAQ"
"2019-10-11 14:45:00",50.9028,60.4346,"AAL","NASDAQ"
"2019-10-11 14:30:00",40.8157,51.2396,"AAL","NASDAQ"
"2019-10-11 14:15:00",29.8076,41.0343,"AAL","NASDAQ"
"2019-10-11 14:00:00",21.6123,30.1732,"AAL","NASDAQ"
"2019-10-11 13:45:00",19.0647,18.2154,"AAL","NASDAQ"
"2019-10-11 13:30:00",22.7787,16.4484,"AAL","NASDAQ"
"2019-10-11 13:15:00",23.3287,22.5302,"AAL","NASDAQ"
"2019-10-11 13:00:00",24.9841,29.3576,"AAL","NASDAQ"
"2019-10-11 12:45:00",26.6527,18.0983,"AAL","NASDAQ"
"2019-10-11 12:30:00",41.5526,27.4966,"AAL","NASDAQ"
"2019-10-11 12:15:00",56.8559,34.3633,"AAL","NASDAQ"
"2019-10-11 12:00:00",71.4054,62.7977,"AAL","NASDAQ"
"2019-10-11 11:45:00",74.2552,73.4066,"AAL","NASDAQ"
"2019-10-11 11:30:00",72.8367,78.0117,"AAL","NASDAQ"
"2019-10-11 11:15:00",72.2993,71.3472,"AAL","NASDAQ"
"2019-10-11 11:00:00",74.9458,69.1511,"AAL","NASDAQ"
"2019-10-11 10:45:00",79.0939,76.3998,"AAL","NASDAQ"
"2019-10-11 10:30:00",81.5828,79.2865,"AAL","NASDAQ"
"2019-10-11 10:15:00",84.4967,81.5953,"AAL","NASDAQ"
"2019-10-11 10:00:00",87.5304,83.8666,"AAL","NASDAQ"
"2019-10-11 09:45:00",91.1172,88.0281,"AAL","NASDAQ"
"2019-10-10 16:00:00",93.7511,90.6967,"AAL","NASDAQ"
"2019-10-10 15:45:00",90.9838,94.6268,"AAL","NASDAQ"
"2019-10-10 15:30:00",82.9944,95.9298,"AAL","NASDAQ"
"2019-10-10 15:15:00",74.0271,82.3947,"AAL","NASDAQ"
"2019-10-10 15:00:00",72.5676,70.6587,"AAL","NASDAQ"
"2019-10-10 14:45:00",78.6694,69.0278,"AAL","NASDAQ"
"2019-10-10 14:30:00",80.065,78.0162,"AAL","NASDAQ"
"2019-10-10 14:15:00",71.2664,88.9644,"AAL","NASDAQ"
"2019-10-10 14:00:00",49.3748,73.2144,"AAL","NASDAQ"
"2019-10-10 13:45:00",29.4125,51.6205,"AAL","NASDAQ"
"2019-10-10 13:30:00",14.5491,23.2896,"AAL","NASDAQ"
"2019-10-10 13:15:00",11.1061,13.3275,"AAL","NASDAQ"
"2019-10-10 13:00:00",17.3102,7.0302,"AAL","NASDAQ"
"2019-10-10 12:45:00",33.7813,12.9606,"AAL","NASDAQ"
"2019-10-10 12:30:00",54.2015,31.9398,"AAL","NASDAQ"
"2019-10-10 12:15:00",72.034,56.4435,"AAL","NASDAQ"
"2019-10-10 12:00:00",84.6417,74.2213,"AAL","NASDAQ"
"2019-10-10 11:45:00",92.2549,85.4371,"AAL","NASDAQ"
"2019-10-10 11:30:00",91.5191,94.2668,"AAL","NASDAQ"
"2019-10-10 11:15:00",79.8809,97.0609,"AAL","NASDAQ"
"2019-10-10 11:00:00",60.5446,83.2297,"AAL","NASDAQ"
"2019-10-10 10:45:00",42.9061,59.3519,"AAL","NASDAQ"
"2019-10-10 10:30:00",31.2782,39.052,"AAL","NASDAQ"
"2019-10-10 10:15:00",22.9446,30.3143,"AAL","NASDAQ"
"2019-10-10 10:00:00",20.9875,24.4682,"AAL","NASDAQ"
"2019-10-10 09:45:00",23.5923,14.0513,"AAL","NASDAQ"
"2019-10-09 16:00:00",36.1733,24.443,"AAL","NASDAQ"
