"time","real.lower.band","real.middle.band","real.upper.band"
2019-10-08 16:00:00,14.9578,15.1638,15.3698
2019-10-08 15:30:00,14.9543,15.1619,15.3695
2019-10-08 15:15:00,14.9509,15.16,15.3692
2019-10-08 15:00:00,14.9474,15.1582,15.3689
2019-10-08 14:45:00,14.944,15.1564,15.3687
2019-10-08 14:30:00,14.9408,15.1545,15.3683
2019-10-08 14:15:00,14.9376,15.1527,15.3677
2019-10-08 13:45:00,14.9344,15.1508,15.3672
2019-10-08 13:15:00,14.9314,15.149,15.3666
2019-10-08 13:00:00,14.9286,15.1471,15.3656
2019-10-08 12:00:00,14.9264,15.1452,15.3641
2019-10-08 11:45:00,14.9241,15.1434,15.3628
2019-10-08 11:15:00,14.9219,15.1416,15.3613
2019-10-08 11:00:00,14.92,15.1399,15.3597
2019-10-08 10:30:00,14.9176,15.1379,15.3582
2019-10-08 10:00:00,14.9149,15.1359,15.357
2019-10-08 09:45:00,14.9126,15.1341,15.3555
2019-10-07 16:00:00,14.9099,15.1323,15.3547
2019-10-07 15:45:00,14.9074,15.1306,15.3539
2019-10-07 15:00:00,14.9053,15.129,15.3526
2019-10-07 14:30:00,14.9025,15.1272,15.3519
2019-10-07 13:45:00,14.9003,15.1256,15.351
2019-10-07 13:15:00,14.8983,15.124,15.3498
2019-10-07 13:00:00,14.8963,15.1224,15.3485
2019-10-07 12:45:00,14.8941,15.1206,15.3471
2019-10-07 12:30:00,14.8924,15.1189,15.3454
2019-10-07 12:15:00,14.8907,15.1172,15.3437
2019-10-07 12:00:00,14.8898,15.1157,15.3416
2019-10-07 11:45:00,14.8888,15.1143,15.3397
2019-10-07 11:30:00,14.8877,15.1128,15.3378
2019-10-07 11:15:00,14.8868,15.1114,15.336
2019-10-07 11:00:00,14.8856,15.1098,15.334
2019-10-07 10:45:00,14.8841,15.1082,15.3324
2019-10-07 10:30:00,14.8821,15.1065,15.3309
2019-10-07 10:15:00,14.8806,15.1048,15.3291
2019-10-07 10:00:00,14.879,15.1031,15.3272
2019-10-07 09:45:00,14.8775,15.1014,15.3253
2019-10-04 16:00:00,14.8761,15.0998,15.3236
2019-10-04 15:45:00,14.8738,15.098,15.3222
2019-10-04 15:15:00,14.8717,15.0962,15.3207
2019-10-04 15:00:00,14.8693,15.0945,15.3196
2019-10-04 14:45:00,14.8671,15.0928,15.3185
2019-10-04 14:30:00,14.8651,15.0911,15.317
2019-10-04 14:15:00,14.8636,15.0894,15.3152
2019-10-04 14:00:00,14.8621,15.0877,15.3133
2019-10-04 13:45:00,14.8611,15.086,15.3109
2019-10-04 13:30:00,14.8599,15.0841,15.3084
2019-10-04 12:45:00,14.8588,15.0823,15.3058
2019-10-04 12:00:00,14.8576,15.0806,15.3036
2019-10-04 11:45:00,14.8571,15.079,15.301
2019-10-04 11:30:00,14.8567,15.0774,15.2981
2019-10-04 11:15:00,14.8564,15.0757,15.2951
2019-10-04 11:00:00,14.856,15.0742,15.2924
2019-10-04 10:45:00,14.8558,15.0727,15.2896
2019-10-04 10:30:00,14.8554,15.0711,15.2868
2019-10-04 10:15:00,14.855,15.0696,15.2842
2019-10-04 10:00:00,14.8543,15.0679,15.2814
2019-10-04 09:45:00,14.8537,15.0662,15.2787
2019-10-03 16:00:00,14.854,15.0648,15.2756
2019-10-03 15:45:00,14.8525,15.0628,15.2732
2019-10-03 15:30:00,14.8508,15.061,15.2712
2019-10-03 15:15:00,14.8491,15.0591,15.2692
2019-10-03 15:00:00,14.8474,15.0573,15.2672
2019-10-03 14:45:00,14.846,15.0557,15.2653
2019-10-03 14:30:00,14.8447,15.0539,15.2631
2019-10-03 14:00:00,14.8431,15.0521,15.2611
2019-10-03 13:45:00,14.8415,15.0504,15.2592
2019-10-03 13:30:00,14.8392,15.0485,15.2577
2019-10-03 13:00:00,14.8377,15.0467,15.2557
2019-10-03 12:45:00,14.8361,15.0449,15.2538
2019-10-03 12:30:00,14.8349,15.0432,15.2516
2019-10-03 12:15:00,14.8336,15.0416,15.2495
2019-10-03 12:00:00,14.8321,15.0399,15.2477
2019-10-03 11:45:00,14.8308,15.0382,15.2457
2019-10-03 11:30:00,14.8293,15.0365,15.2437
2019-10-03 11:15:00,14.8279,15.0346,15.2412
2019-10-03 11:00:00,14.8266,15.0327,15.2387
2019-10-03 10:45:00,14.8259,15.031,15.2361
2019-10-03 10:30:00,14.8242,15.0292,15.2342
2019-10-03 10:15:00,14.8226,15.0275,15.2323
2019-10-03 10:00:00,14.8211,15.0258,15.2305
2019-10-03 09:45:00,14.8194,15.0243,15.2291
2019-10-02 15:45:00,14.8174,15.0227,15.2279
2019-10-02 15:30:00,14.8156,15.021,15.2263
2019-10-02 15:00:00,14.8137,15.0196,15.2254
2019-10-02 14:00:00,14.8116,15.0181,15.2245
2019-10-02 13:45:00,14.8097,15.0167,15.2237
2019-10-02 13:15:00,14.8082,15.0152,15.2221
2019-10-02 13:00:00,14.8069,15.0136,15.2203
2019-10-02 12:45:00,14.8055,15.012,15.2185
2019-10-02 12:15:00,14.804,15.0104,15.2169
2019-10-02 11:45:00,14.8028,15.0088,15.2147
2019-10-02 11:30:00,14.8019,15.0071,15.2124
2019-10-02 11:15:00,14.8005,15.0054,15.2103
2019-10-02 11:00:00,14.7989,15.0036,15.2084
2019-10-02 10:45:00,14.7969,15.0019,15.2069
2019-10-02 10:30:00,14.7955,15.0002,15.2049
2019-10-02 10:15:00,14.7943,14.9987,15.203
2019-10-02 10:00:00,14.7934,14.9972,15.201
2019-10-02 09:45:00,14.7925,14.9958,15.1991
2019-10-01 16:00:00,14.7917,14.9943,15.197
2019-10-01 15:45:00,14.7905,14.9931,15.1957
2019-10-01 15:15:00,14.7895,14.9918,15.1942
2019-10-01 15:00:00,14.7887,14.9906,15.1924
2019-10-01 14:45:00,14.7858,14.9888,15.1917
2019-10-01 14:30:00,14.7831,14.9869,15.1907
2019-10-01 14:15:00,14.7793,14.9849,15.1905
2019-10-01 14:00:00,14.7765,14.983,15.1895
2019-10-01 13:45:00,14.7746,14.9813,15.188
2019-10-01 13:30:00,14.7726,14.9796,15.1865
2019-10-01 13:15:00,14.7706,14.9779,15.1852
2019-10-01 13:00:00,14.7684,14.9762,15.1839
2019-10-01 12:30:00,14.766,14.9743,15.1827
2019-10-01 12:15:00,14.7637,14.9725,15.1813
2019-10-01 12:00:00,14.7615,14.9707,15.1799
2019-10-01 11:45:00,14.7593,14.9688,15.1784
2019-10-01 11:30:00,14.7563,14.9668,15.1772
2019-10-01 11:15:00,14.754,14.9648,15.1757
2019-10-01 11:00:00,14.7519,14.9629,15.1739
2019-10-01 10:30:00,14.7504,14.9611,15.1719
2019-10-01 10:15:00,14.7483,14.9594,15.1704
2019-10-01 10:00:00,14.7447,14.9573,15.1699
2019-10-01 09:45:00,14.7396,14.9552,15.1709
2019-09-30 16:00:00,14.735,14.9531,15.1711
2019-09-30 15:45:00,14.7308,14.9511,15.1714
2019-09-30 15:30:00,14.7264,14.949,15.1716
2019-09-30 15:15:00,14.7218,14.9468,15.1719
2019-09-30 15:00:00,14.717,14.9447,15.1724
2019-09-30 14:45:00,14.7127,14.9426,15.1725
2019-09-30 14:30:00,14.7081,14.9405,15.1729
2019-09-30 14:00:00,14.7039,14.9384,15.1729
2019-09-30 13:45:00,14.6997,14.9363,15.173
2019-09-30 13:15:00,14.6955,14.9343,15.173
2019-09-30 13:00:00,14.6916,14.9321,15.1725
2019-09-30 12:45:00,14.6877,14.9298,15.1718
2019-09-30 12:30:00,14.6847,14.9275,15.1702
2019-09-30 12:15:00,14.6813,14.9252,15.1691
2019-09-30 12:00:00,14.6782,14.9229,15.1675
2019-09-30 11:45:00,14.6745,14.9204,15.1662
2019-09-30 11:30:00,14.6707,14.9179,15.1652
2019-09-30 11:15:00,14.6668,14.9154,15.1641
2019-09-30 11:00:00,14.6625,14.9129,15.1633
2019-09-30 10:45:00,14.6587,14.9104,15.1621
2019-09-30 10:30:00,14.6551,14.9079,15.1608
2019-09-30 10:15:00,14.6523,14.9056,15.1588
2019-09-30 10:00:00,14.6471,14.9028,15.1584
2019-09-30 09:45:00,14.6414,14.8999,15.1583
2019-09-27 15:30:00,14.6361,14.8968,15.1576
2019-09-27 15:15:00,14.6299,14.8939,15.1579
2019-09-27 15:00:00,14.6243,14.8909,15.1574
2019-09-27 14:45:00,14.62,14.888,15.156
2019-09-27 14:30:00,14.6162,14.8855,15.1549
2019-09-27 14:15:00,14.6125,14.883,15.1535
2019-09-27 14:00:00,14.6093,14.8803,15.1513
2019-09-27 13:45:00,14.6062,14.8777,15.1492
2019-09-27 13:30:00,14.603,14.8753,15.1476
2019-09-27 13:15:00,14.6,14.8728,15.1456
2019-09-27 13:00:00,14.5969,14.8703,15.1436
2019-09-27 12:45:00,14.5935,14.8677,15.1419
2019-09-27 12:30:00,14.5899,14.8653,15.1406
2019-09-27 12:15:00,14.5864,14.8627,15.1389
2019-09-27 12:00:00,14.5825,14.86,15.1374
2019-09-27 11:45:00,14.5787,14.8573,15.1358
2019-09-27 11:30:00,14.5746,14.8545,15.1344
2019-09-27 11:00:00,14.5701,14.8517,15.1332
2019-09-27 10:45:00,14.5666,14.849,15.1313
2019-09-27 10:30:00,14.564,14.8464,15.1288
2019-09-27 10:15:00,14.5599,14.8436,15.1272
2019-09-27 10:00:00,14.556,14.8407,15.1254
2019-09-27 09:45:00,14.5525,14.8379,15.1234
2019-09-26 16:00:00,14.5491,14.8351,15.1212
2019-09-26 15:45:00,14.5453,14.8329,15.1205
2019-09-26 15:00:00,14.5417,14.8307,15.1196
